county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,total_votes,district
Adair,President,Barack Obama,DEM,10001,10,15,119,144,
Adair,President,Mitt Romney,REP,10001,18,20,178,216,
Adair,U.S. House,Rob Wallace,DEM,10001,12,17,114,143,02
Adair,U.S. House,Markwayne Mullin,REP,10001,16,20,178,214,02
Adair,U.S. House,Michael Fulks,IND,10001,0,0,8,8,02
Adair,State Senate,Jim Bynum,DEM,10001,13,20,160,193,3
Adair,State Senate,Wayne Shaw,REP,10001,15,17,137,169,3
Adair,State House,Will Fourkiller,DEM,10001,26,26,239,291,86
Adair,State House,Russell Don Turner,REP,10001,2,11,64,77,86
Adair,President,Barack Obama,DEM,10002,4,7,79,90,
Adair,President,Mitt Romney,REP,10002,3,42,172,217,
Adair,U.S. House,Rob Wallace,DEM,10002,4,6,76,86,02
Adair,U.S. House,Markwayne Mullin,REP,10002,3,42,166,211,02
Adair,U.S. House,Michael Fulks,IND,10002,0,1,5,6,02
Adair,State Senate,Jim Bynum,DEM,10002,5,14,116,135,3
Adair,State Senate,Wayne Shaw,REP,10002,2,35,129,166,3
Adair,State House,Will Fourkiller,DEM,10002,6,29,171,206,86
Adair,State House,Russell Don Turner,REP,10002,1,20,78,99,86
Adair,President,Barack Obama,DEM,10003,2,0,45,47,
Adair,President,Mitt Romney,REP,10003,10,2,92,104,
Adair,U.S. House,Rob Wallace,DEM,10003,0,0,37,37,02
Adair,U.S. House,Markwayne Mullin,REP,10003,12,2,94,108,02
Adair,U.S. House,Michael Fulks,IND,10003,0,0,6,6,02
Adair,State Senate,Jim Bynum,DEM,10003,4,0,67,71,3
Adair,State Senate,Wayne Shaw,REP,10003,8,2,71,81,3
Adair,State House,Will Fourkiller,DEM,10003,5,0,81,86,86
Adair,State House,Russell Don Turner,REP,10003,7,2,58,67,86
Adair,President,Barack Obama,DEM,10004,15,9,70,94,
Adair,President,Mitt Romney,REP,10004,6,23,157,186,
Adair,U.S. House,Rob Wallace,DEM,10004,13,15,75,103,02
Adair,U.S. House,Markwayne Mullin,REP,10004,7,17,144,168,02
Adair,U.S. House,Michael Fulks,IND,10004,1,0,8,9,02
Adair,State Senate,Jim Bynum,DEM,10004,14,21,120,155,3
Adair,State Senate,Wayne Shaw,REP,10004,7,11,104,122,3
Adair,State House,Will Fourkiller,DEM,10004,17,25,177,219,86
Adair,State House,Russell Don Turner,REP,10004,4,7,51,62,86
Adair,President,Barack Obama,DEM,10005,5,4,38,47,
Adair,President,Mitt Romney,REP,10005,1,5,153,159,
Adair,U.S. House,Rob Wallace,DEM,10005,2,4,42,48,02
Adair,U.S. House,Markwayne Mullin,REP,10005,3,6,144,153,02
Adair,U.S. House,Michael Fulks,IND,10005,1,0,4,5,02
Adair,State Senate,Jim Bynum,DEM,10005,4,7,73,84,3
Adair,State Senate,Wayne Shaw,REP,10005,1,3,112,116,3
Adair,State House,Will Fourkiller,DEM,10005,4,8,149,161,86
Adair,State House,Russell Don Turner,REP,10005,1,2,46,49,86
Adair,President,Barack Obama,DEM,10006,6,14,114,134,
Adair,President,Mitt Romney,REP,10006,6,23,286,315,
Adair,U.S. House,Rob Wallace,DEM,10006,5,14,100,119,02
Adair,U.S. House,Markwayne Mullin,REP,10006,10,22,289,321,02
Adair,U.S. House,Michael Fulks,IND,10006,0,0,11,11,02
Adair,State Senate,Jim Bynum,DEM,10006,10,23,199,232,3
Adair,State Senate,Wayne Shaw,REP,10006,5,13,194,212,3
Adair,State House,Will Fourkiller,DEM,10006,13,33,305,351,86
Adair,State House,Russell Don Turner,REP,10006,2,4,96,102,86
Adair,President,Barack Obama,DEM,10007,17,27,136,180,
Adair,President,Mitt Romney,REP,10007,14,21,284,319,
Adair,U.S. House,Rob Wallace,DEM,10007,18,23,149,190,02
Adair,U.S. House,Markwayne Mullin,REP,10007,12,22,264,298,02
Adair,U.S. House,Michael Fulks,IND,10007,1,3,10,14,02
Adair,State Senate,Jim Bynum,DEM,10007,20,28,221,269,3
Adair,State Senate,Wayne Shaw,REP,10007,10,21,199,230,3
Adair,State House,Will Fourkiller,DEM,10007,24,42,341,407,86
Adair,State House,Russell Don Turner,REP,10007,5,7,83,95,86
Adair,President,Barack Obama,DEM,10008,10,14,116,140,
Adair,President,Mitt Romney,REP,10008,12,22,204,238,
Adair,U.S. House,Rob Wallace,DEM,10008,8,13,99,120,02
Adair,U.S. House,Markwayne Mullin,REP,10008,14,22,216,252,02
Adair,U.S. House,Michael Fulks,IND,10008,0,1,9,10,02
Adair,State Senate,Jim Bynum,DEM,10008,17,23,183,223,3
Adair,State Senate,Wayne Shaw,REP,10008,5,13,142,160,3
Adair,State House,Will Fourkiller,DEM,10008,21,34,272,327,86
Adair,State House,Russell Don Turner,REP,10008,3,2,54,59,86
Adair,President,Barack Obama,DEM,10010,13,1,35,49,
Adair,President,Mitt Romney,REP,10010,12,5,73,90,
Adair,U.S. House,Rob Wallace,DEM,10010,11,2,40,53,02
Adair,U.S. House,Markwayne Mullin,REP,10010,16,4,68,88,02
Adair,U.S. House,Michael Fulks,IND,10010,0,0,4,4,02
Adair,State Senate,Jim Bynum,DEM,10010,24,4,70,98,3
Adair,State Senate,Wayne Shaw,REP,10010,5,2,43,50,3
Adair,State House,Will Fourkiller,DEM,10010,23,5,92,120,86
Adair,State House,Russell Don Turner,REP,10010,5,1,21,27,86
Adair,President,Barack Obama,DEM,10011,12,4,67,83,
Adair,President,Mitt Romney,REP,10011,4,8,112,124,
Adair,U.S. House,Rob Wallace,DEM,10011,13,4,65,82,02
Adair,U.S. House,Markwayne Mullin,REP,10011,3,7,101,111,02
Adair,U.S. House,Michael Fulks,IND,10011,0,1,7,8,02
Adair,State Senate,Jim Bynum,DEM,10011,13,4,73,90,3
Adair,State Senate,Wayne Shaw,REP,10011,3,8,97,108,3
Adair,State House,Will Fourkiller,DEM,10011,16,6,121,143,86
Adair,State House,Russell Don Turner,REP,10011,2,6,51,59,86
Adair,President,Barack Obama,DEM,10012,3,5,103,111,
Adair,President,Mitt Romney,REP,10012,10,17,260,287,
Adair,U.S. House,Rob Wallace,DEM,10012,2,5,114,121,02
Adair,U.S. House,Markwayne Mullin,REP,10012,11,16,242,269,02
Adair,U.S. House,Michael Fulks,IND,10012,0,1,9,10,02
Adair,State Senate,Jim Bynum,DEM,10012,6,11,171,188,3
Adair,State Senate,Wayne Shaw,REP,10012,6,11,196,213,3
Adair,State House,Will Fourkiller,DEM,10012,11,16,269,296,86
Adair,State House,Russell Don Turner,REP,10012,2,6,96,104,86
Adair,President,Barack Obama,DEM,10013,7,13,99,119,
Adair,President,Mitt Romney,REP,10013,4,21,178,203,
Adair,U.S. House,Rob Wallace,DEM,10013,5,19,88,112,02
Adair,U.S. House,Markwayne Mullin,REP,10013,6,14,181,201,02
Adair,U.S. House,Michael Fulks,IND,10013,0,1,7,8,02
Adair,State Senate,Jim Bynum,DEM,10013,8,20,167,195,3
Adair,State Senate,Wayne Shaw,REP,10013,3,14,106,123,3
Adair,State House,Will Fourkiller,DEM,10013,9,31,235,275,86
Adair,State House,Russell Don Turner,REP,10013,3,3,42,48,86
Adair,President,Barack Obama,DEM,10014,12,14,192,218,
Adair,President,Mitt Romney,REP,10014,14,35,251,300,
Adair,U.S. House,Rob Wallace,DEM,10014,11,18,162,191,02
Adair,U.S. House,Markwayne Mullin,REP,10014,14,29,261,304,02
Adair,U.S. House,Michael Fulks,IND,10014,1,1,18,20,02
Adair,State Senate,Jim Bynum,DEM,10014,14,23,258,295,3
Adair,State Senate,Wayne Shaw,REP,10014,11,25,182,218,3
Adair,State House,Will Fourkiller,DEM,10014,21,41,364,426,86
Adair,State House,Russell Don Turner,REP,10014,4,7,76,87,86
Adair,President,Barack Obama,DEM,10016,0,0,69,69,
Adair,President,Mitt Romney,REP,10016,14,6,240,260,
Adair,U.S. House,Rob Wallace,DEM,10016,0,0,58,58,02
Adair,U.S. House,Markwayne Mullin,REP,10016,14,6,236,256,02
Adair,U.S. House,Michael Fulks,IND,10016,0,0,11,11,02
Adair,State Senate,Jim Bynum,DEM,10016,0,0,99,99,3
Adair,State Senate,Wayne Shaw,REP,10016,14,6,206,226,3
Adair,State House,Will Fourkiller,DEM,10016,1,2,112,115,86
Adair,State House,Russell Don Turner,REP,10016,13,4,187,204,86
Adair,President,Barack Obama,DEM,10017,21,8,172,201,
Adair,President,Mitt Romney,REP,10017,19,21,374,414,
Adair,U.S. House,Rob Wallace,DEM,10017,14,8,188,210,02
Adair,U.S. House,Markwayne Mullin,REP,10017,26,18,338,382,02
Adair,U.S. House,Michael Fulks,IND,10017,2,3,17,22,02
Adair,State Senate,Jim Bynum,DEM,10017,24,11,272,307,3
Adair,State Senate,Wayne Shaw,REP,10017,19,16,273,308,3
Adair,State House,Will Fourkiller,DEM,10017,30,13,323,366,86
Adair,State House,Russell Don Turner,REP,10017,12,14,219,245,86
Adair,President,Barack Obama,DEM,10018,43,13,148,204,
Adair,President,Mitt Romney,REP,10018,23,15,339,377,
Adair,U.S. House,Rob Wallace,DEM,10018,26,9,128,163,02
Adair,U.S. House,Markwayne Mullin,REP,10018,41,18,337,396,02
Adair,U.S. House,Michael Fulks,IND,10018,2,1,23,26,02
Adair,State Senate,Jim Bynum,DEM,10018,54,13,268,335,3
Adair,State Senate,Wayne Shaw,REP,10018,16,15,218,249,3
Adair,State House,Will Fourkiller,DEM,10018,64,21,359,444,86
Adair,State House,Russell Don Turner,REP,10018,5,6,128,139,86
Adair,President,Barack Obama,DEM,10019,20,3,174,197,
Adair,President,Mitt Romney,REP,10019,26,16,530,572,
Adair,U.S. House,Rob Wallace,DEM,10019,12,3,161,176,02
Adair,U.S. House,Markwayne Mullin,REP,10019,32,15,520,567,02
Adair,U.S. House,Michael Fulks,IND,10019,4,2,19,25,02
Adair,State Senate,Jim Bynum,DEM,10019,35,9,320,364,3
Adair,State Senate,Wayne Shaw,REP,10019,14,12,377,403,3
Adair,State House,Will Fourkiller,DEM,10019,40,12,462,514,86
Adair,State House,Russell Don Turner,REP,10019,12,9,234,255,86
Alfalfa,President,Barack Obama,DEM,20110,0,0,26,26,
Alfalfa,President,Mitt Romney,REP,20110,10,12,132,154,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20110,0,0,15,15,03
Alfalfa,U.S. House,Frank Lucas,REP,20110,10,12,141,163,03
Alfalfa,U.S. House,William Sanders,IND,20110,0,0,1,1,03
Alfalfa,President,Barack Obama,DEM,20120,1,3,30,34,
Alfalfa,President,Mitt Romney,REP,20120,11,24,120,155,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20120,0,2,18,20,03
Alfalfa,U.S. House,Frank Lucas,REP,20120,11,25,125,161,03
Alfalfa,U.S. House,William Sanders,IND,20120,1,0,6,7,03
Alfalfa,President,Barack Obama,DEM,20140,1,9,46,56,
Alfalfa,President,Mitt Romney,REP,20140,11,36,252,299,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20140,0,5,37,42,03
Alfalfa,U.S. House,Frank Lucas,REP,20140,11,36,248,295,03
Alfalfa,U.S. House,William Sanders,IND,20140,0,4,12,16,03
Alfalfa,President,Barack Obama,DEM,20220,8,8,68,84,
Alfalfa,President,Mitt Romney,REP,20220,21,44,265,330,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20220,9,6,36,51,03
Alfalfa,U.S. House,Frank Lucas,REP,20220,19,44,285,348,03
Alfalfa,U.S. House,William Sanders,IND,20220,1,2,11,14,03
Alfalfa,President,Barack Obama,DEM,20230,4,1,44,49,
Alfalfa,President,Mitt Romney,REP,20230,9,5,219,233,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20230,2,1,31,34,03
Alfalfa,U.S. House,Frank Lucas,REP,20230,11,5,215,231,03
Alfalfa,U.S. House,William Sanders,IND,20230,0,1,17,18,03
Alfalfa,President,Barack Obama,DEM,20310,0,2,32,34,
Alfalfa,President,Mitt Romney,REP,20310,10,18,255,283,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20310,0,1,25,26,03
Alfalfa,U.S. House,Frank Lucas,REP,20310,10,16,255,281,03
Alfalfa,U.S. House,William Sanders,IND,20310,0,2,9,11,03
Alfalfa,President,Barack Obama,DEM,20330,6,2,31,39,
Alfalfa,President,Mitt Romney,REP,20330,43,15,249,307,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,20330,4,2,29,35,03
Alfalfa,U.S. House,Frank Lucas,REP,20330,44,13,247,304,03
Alfalfa,U.S. House,William Sanders,IND,20330,1,2,6,9,03
Atoka,President,Barack Obama,DEM,30001,3,49,104,156,
Atoka,President,Mitt Romney,REP,30001,14,104,254,372,
Atoka,U.S. House,Rob Wallace,DEM,30001,3,69,134,206,02
Atoka,U.S. House,Markwayne Mullin,REP,30001,13,80,202,295,02
Atoka,U.S. House,Michael Fulks,IND,30001,0,1,24,25,02
Atoka,State House,Doris Anne Row,DEM,30001,1,56,103,160,22
Atoka,State House,Charles Mccall,REP,30001,16,96,261,373,22
Atoka,President,Barack Obama,DEM,30002,7,28,44,79,
Atoka,President,Mitt Romney,REP,30002,18,76,197,291,
Atoka,U.S. House,Rob Wallace,DEM,30002,5,36,66,107,02
Atoka,U.S. House,Markwayne Mullin,REP,30002,15,65,159,239,02
Atoka,U.S. House,Michael Fulks,IND,30002,2,1,10,13,02
Atoka,State House,Doris Anne Row,DEM,30002,7,17,46,70,22
Atoka,State House,Charles Mccall,REP,30002,16,86,197,299,22
Atoka,President,Barack Obama,DEM,30003,4,39,96,139,
Atoka,President,Mitt Romney,REP,30003,6,82,127,215,
Atoka,U.S. House,Rob Wallace,DEM,30003,4,48,116,168,02
Atoka,U.S. House,Markwayne Mullin,REP,30003,5,75,88,168,02
Atoka,U.S. House,Michael Fulks,IND,30003,1,0,10,11,02
Atoka,State House,Doris Anne Row,DEM,30003,4,42,84,130,22
Atoka,State House,Charles Mccall,REP,30003,6,82,138,226,22
Atoka,President,Barack Obama,DEM,30006,5,15,45,65,
Atoka,President,Mitt Romney,REP,30006,3,36,148,187,
Atoka,U.S. House,Rob Wallace,DEM,30006,5,19,62,86,02
