county,office,candidate,party,absentee,early,election_day,votes,district
Adair,President,Barack Obama,DEM,200,151,1776,2127,
Adair,President,Mitt Romney,REP,196,302,3883,4381,
Adair,U.S. House,Rob Wallace,DEM,156,160,1696,2012,02
Adair,U.S. House,Markwayne Mullin,REP,240,280,3779,4299,02
Adair,U.S. House,Michael Fulks,IND,12,15,176,203,02
Adair,State Senate,Jim Bynum,DEM,265,231,2837,3333,3
Adair,State Senate,Wayne Shaw,REP,144,224,2786,3154,3
Adair,State House,Will Fourkiller,DEM,331,344,4072,4747,86
Adair,State House,Russell Don Turner,REP,83,111,1584,1778,86
Alfalfa,President,Barack Obama,DEM,20,25,277,322,
Alfalfa,President,Mitt Romney,REP,115,154,1492,1761,
Alfalfa,U.S. House,Timothy Ray Murray,DEM,15,17,191,223,03
Alfalfa,U.S. House,Frank Lucas,REP,116,151,1516,1783,03
Alfalfa,U.S. House,William Sanders,IND,3,11,62,76,03
Atoka,President,Barack Obama,DEM,48,261,934,1243,
Atoka,President,Mitt Romney,REP,119,680,2739,3538,
Atoka,U.S. House,Rob Wallace,DEM,50,367,1395,1812,02
Atoka,U.S. House,Markwayne Mullin,REP,102,558,2097,2757,02
Atoka,U.S. House,Michael Fulks,IND,5,15,154,174,02
Atoka,State Senate,Jerry Ellis,DEM,8,52,543,603,5
Atoka,State Senate,Howard Houchen,REP,13,33,339,385,5
Atoka,State House,Doris Anne Row,DEM,39,182,710,931,22
Atoka,State House,Charles Mccall,REP,80,460,1531,2071,22
Beaver,President,Barack Obama,DEM,18,14,212,244,
Beaver,President,Mitt Romney,REP,144,245,1673,2062,
Beaver,U.S. House,Timothy Ray Murray,DEM,11,9,153,173,03
Beaver,U.S. House,Frank Lucas,REP,147,240,1655,2042,03
Beaver,U.S. House,William Sanders,IND,4,9,74,87,03
Beaver,State Senate,A. Bryce Marlatt,REP,142,225,1595,1962,27
Beaver,State Senate,Tommy Nicholson,IND,17,25,230,272,27
Beckham,President,Barack Obama,DEM,44,147,1226,1417,
Beckham,President,Mitt Romney,REP,200,610,4698,5508,
Beckham,U.S. House,Timothy Ray Murray,DEM,33,113,816,962,03
Beckham,U.S. House,Frank Lucas,REP,201,624,4894,5719,03
Beckham,U.S. House,William Sanders,IND,7,20,208,235,03
Blaine,President,Barack Obama,DEM,37,94,861,992,
Blaine,President,Mitt Romney,REP,108,284,2432,2824,
Blaine,U.S. House,Timothy Ray Murray,DEM,20,70,524,614,03
Blaine,U.S. House,Frank Lucas,REP,113,279,2560,2952,03
Blaine,U.S. House,William Sanders,IND,11,27,208,246,03
Bryan,President,Barack Obama,DEM,79,344,3258,3681,
Bryan,President,Mitt Romney,REP,257,1082,8181,9520,
Bryan,U.S. House,Rob Wallace,DEM,90,425,4401,4916,02
Bryan,U.S. House,Markwayne Mullin,REP,213,933,6385,7531,02
Bryan,U.S. House,Michael Fulks,IND,13,55,541,609,02
Bryan,State House,Jerry Tomlinson,DEM,98,455,3573,4126,21
Bryan,State House,Dustin Roberts,REP,190,885,6243,7318,21
Caddo,President,Barack Obama,DEM,69,271,2824,3164,
Caddo,President,Mitt Romney,REP,218,400,5069,5687,
Caddo,U.S. House,Timothy Ray Murray,DEM,60,221,2159,2440,03
Caddo,U.S. House,Frank Lucas,REP,217,435,5416,6068,03
Caddo,U.S. House,William Sanders,IND,7,17,299,323,03
Caddo,State House,David Perryman,DEM,67,331,2234,2632,56
