county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,total_votes,district
Adair,Governor,Joe Dorman,DEM,10001,1,8,88,97,
Adair,Governor,Mary Fallin,REP,10001,7,3,91,101,
Adair,Governor,Kimberly Willis,IND,10001,0,0,3,3,
Adair,Governor,Richard Prawdzienski,IND,10001,0,0,2,2,
Adair,Lieutenant Governor,Cathy Cummings,DEM,10001,1,3,67,71,
Adair,Lieutenant Governor,Todd Lamb,REP,10001,7,8,116,131,
Adair,Superintendent of Public Instruction,John Cox,DEM,10001,7,9,122,138,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10001,0,1,64,65,
Adair,Commissioner of Labor,Mike Workman,DEM,10001,5,6,85,96,
Adair,Commissioner of Labor,Mark Costello,REP,10001,3,3,92,98,
Adair,U.S. Senate,Matt Silverstein,DEM,10001,0,1,48,49,
Adair,U.S. Senate,Jim Inhofe,REP,10001,8,9,137,154,
Adair,U.S. Senate,Aaron Delozier,IND,10001,0,0,0,0,
Adair,U.S. Senate,Ray Woods,IND,10001,0,0,0,0,
Adair,U.S. Senate,Joan Farr,IND,10001,0,0,1,1,
Adair,U.S. Senate,Connie Johnson,DEM,10001,1,2,53,56,
Adair,U.S. Senate,James Lankford,REP,10001,6,8,125,139,
Adair,U.S. Senate,Mark Beard,IND,10001,1,0,4,5,
Adair,U.S. House,Earl Everett,DEM,10001,0,1,31,32,02
Adair,U.S. House,Markwayne Mullin,REP,10001,7,10,145,162,02
Adair,U.S. House,Jon Douthitt,IND,10001,0,0,5,5,02
Adair,State House,Will Fourkiller,DEM,10001,8,9,145,162,86
Adair,State House,Tonya Teaney,REP,10001,0,2,41,43,86
Adair,Governor,Joe Dorman,DEM,10002,2,1,56,59,
Adair,Governor,Mary Fallin,REP,10002,1,4,101,106,
Adair,Governor,Kimberly Willis,IND,10002,0,0,3,3,
Adair,Governor,Richard Prawdzienski,IND,10002,0,0,1,1,
Adair,Lieutenant Governor,Cathy Cummings,DEM,10002,2,1,41,44,
Adair,Lieutenant Governor,Todd Lamb,REP,10002,0,4,120,124,
Adair,Superintendent of Public Instruction,John Cox,DEM,10002,3,2,88,93,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10002,0,3,73,76,
Adair,Commissioner of Labor,Mike Workman,DEM,10002,2,2,67,71,
Adair,Commissioner of Labor,Mark Costello,REP,10002,0,3,92,95,
Adair,U.S. Senate,Matt Silverstein,DEM,10002,1,2,41,44,
Adair,U.S. Senate,Jim Inhofe,REP,10002,2,3,116,121,
Adair,U.S. Senate,Aaron Delozier,IND,10002,0,0,1,1,
Adair,U.S. Senate,Ray Woods,IND,10002,0,0,2,2,
Adair,U.S. Senate,Joan Farr,IND,10002,0,0,1,1,
Adair,U.S. Senate,Connie Johnson,DEM,10002,1,1,36,38,
Adair,U.S. Senate,James Lankford,REP,10002,1,4,120,125,
Adair,U.S. Senate,Mark Beard,IND,10002,0,0,6,6,
Adair,U.S. House,Earl Everett,DEM,10002,1,0,28,29,02
Adair,U.S. House,Markwayne Mullin,REP,10002,2,5,130,137,02
Adair,U.S. House,Jon Douthitt,IND,10002,0,0,2,2,02
Adair,State House,Will Fourkiller,DEM,10002,2,3,119,124,86
Adair,State House,Tonya Teaney,REP,10002,0,2,41,43,86
Adair,Governor,Joe Dorman,DEM,10003,0,2,45,47,
Adair,Governor,Mary Fallin,REP,10003,3,4,55,62,
Adair,Governor,Kimberly Willis,IND,10003,0,0,3,3,
Adair,Governor,Richard Prawdzienski,IND,10003,0,0,1,1,
Adair,Lieutenant Governor,Cathy Cummings,DEM,10003,1,0,40,41,
Adair,Lieutenant Governor,Todd Lamb,REP,10003,2,6,64,72,
Adair,Superintendent of Public Instruction,John Cox,DEM,10003,0,2,61,63,
