county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,total_votes,district
Adair,Superintendent of Public Instruction,John Cox,DEM,10001,7,8,78,93,
Adair,Superintendent of Public Instruction,Jack Jr.,DEM,10001,2,0,8,10,
Adair,Superintendent of Public Instruction,Ivan Holmes,DEM,10001,3,2,2,7,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10001,0,0,14,14,
Adair,U.S. Senate,Patrick Michael Hayes,DEM,10001,5,0,15,20,
Adair,U.S. Senate,Jim Rogers,DEM,10001,7,6,55,68,
Adair,U.S. Senate,Connie Johnson,DEM,10001,0,3,20,23,
Adair,U.S. House,Earl Everett,DEM,10001,8,5,47,60,02
Adair,U.S. House,Joshua Harris-Till,DEM,10001,1,4,40,45,02
Adair,Governor,Dax Ewbank,REP,10001,0,1,2,3,
Adair,Governor,Chad Moody,REP,10001,0,1,10,11,
Adair,Governor,Mary Fallin,REP,10001,0,0,39,39,
Adair,Superintendent of Public Instruction,Brian Kelly,REP,10001,0,0,16,16,
Adair,Superintendent of Public Instruction,Janet Costello Barresi,REP,10001,0,0,4,4,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10001,0,2,27,29,
Adair,Insurance Commissioner,Bill Viner,REP,10001,0,0,11,11,
Adair,Insurance Commissioner,John Doak,REP,10001,0,2,36,38,
Adair,Corporation Commissioner,Todd Hiett,REP,10001,0,1,24,25,
Adair,Corporation Commissioner,Cliff Branan,REP,10001,0,1,23,24,
Adair,U.S. Senate,Evelyn Rogers,REP,10001,0,0,2,2,
Adair,U.S. Senate,Rob Moye,REP,10001,0,0,0,0,
Adair,U.S. Senate,D. Jean Mcbride-Samuels,REP,10001,0,0,0,0,
Adair,U.S. Senate,Jim Inhofe,REP,10001,0,2,47,49,
Adair,U.S. Senate,Erick Paul Wyatt,REP,10001,0,0,1,1,
Adair,U.S. Senate,Andy Craig,REP,10001,0,0,0,0,
Adair,U.S. Senate,T. Shannon,REP,10001,0,2,24,26,
Adair,U.S. Senate,Randy Brogdon,REP,10001,0,0,1,1,
Adair,U.S. Senate,Eric Mccray,REP,10001,0,0,1,1,
Adair,U.S. Senate,Kevin Crow,REP,10001,0,0,2,2,
Adair,U.S. Senate,James Lankford,REP,10001,0,0,20,20,
Adair,U.S. Senate,Jason Weger,REP,10001,0,0,0,0,
Adair,U.S. House,Darrel Robertson,REP,10001,0,0,3,3,02
Adair,U.S. House,Markwayne Mullin,REP,10001,0,2,49,51,02
Adair,Superintendent of Public Instruction,John Cox,DEM,10002,2,3,47,52,
Adair,Superintendent of Public Instruction,Jack Jr.,DEM,10002,0,1,6,7,
Adair,Superintendent of Public Instruction,Ivan Holmes,DEM,10002,2,0,4,6,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10002,0,0,17,17,
Adair,U.S. Senate,Patrick Michael Hayes,DEM,10002,2,1,13,16,
Adair,U.S. Senate,Jim Rogers,DEM,10002,1,3,39,43,
Adair,U.S. Senate,Connie Johnson,DEM,10002,0,0,16,16,
Adair,U.S. House,Earl Everett,DEM,10002,1,2,35,38,02
Adair,U.S. House,Joshua Harris-Till,DEM,10002,2,2,30,34,02
Adair,Governor,Dax Ewbank,REP,10002,0,0,6,6,
Adair,Governor,Chad Moody,REP,10002,0,1,16,17,
Adair,Governor,Mary Fallin,REP,10002,1,4,43,48,
Adair,Superintendent of Public Instruction,Brian Kelly,REP,10002,0,1,16,17,
Adair,Superintendent of Public Instruction,Janet Costello Barresi,REP,10002,0,1,6,7,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10002,1,2,41,44,
Adair,Insurance Commissioner,Bill Viner,REP,10002,1,2,18,21,
Adair,Insurance Commissioner,John Doak,REP,10002,0,2,44,46,
Adair,Corporation Commissioner,Todd Hiett,REP,10002,0,2,40,42,
Adair,Corporation Commissioner,Cliff Branan,REP,10002,1,1,23,25,
Adair,U.S. Senate,Evelyn Rogers,REP,10002,0,1,2,3,
Adair,U.S. Senate,Rob Moye,REP,10002,0,0,1,1,
Adair,U.S. Senate,D. Jean Mcbride-Samuels,REP,10002,0,0,2,2,
Adair,U.S. Senate,Jim Inhofe,REP,10002,1,4,56,61,
Adair,U.S. Senate,Erick Paul Wyatt,REP,10002,0,0,4,4,
Adair,U.S. Senate,Andy Craig,REP,10002,0,0,1,1,
Adair,U.S. Senate,T. Shannon,REP,10002,1,2,33,36,
Adair,U.S. Senate,Randy Brogdon,REP,10002,0,0,3,3,
Adair,U.S. Senate,Eric Mccray,REP,10002,0,0,0,0,
Adair,U.S. Senate,Kevin Crow,REP,10002,0,0,1,1,
Adair,U.S. Senate,James Lankford,REP,10002,0,3,27,30,
Adair,U.S. Senate,Jason Weger,REP,10002,0,0,0,0,
Adair,U.S. House,Darrel Robertson,REP,10002,0,0,5,5,02
Adair,U.S. House,Markwayne Mullin,REP,10002,1,5,61,67,02
Adair,Superintendent of Public Instruction,John Cox,DEM,10003,0,0,16,16,
Adair,Superintendent of Public Instruction,Jack Jr.,DEM,10003,0,0,5,5,
Adair,Superintendent of Public Instruction,Ivan Holmes,DEM,10003,0,0,2,2,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10003,0,0,15,15,
Adair,U.S. Senate,Patrick Michael Hayes,DEM,10003,0,0,6,6,
Adair,U.S. Senate,Jim Rogers,DEM,10003,0,0,23,23,
Adair,U.S. Senate,Connie Johnson,DEM,10003,0,0,8,8,
Adair,U.S. House,Earl Everett,DEM,10003,0,0,25,25,02
Adair,U.S. House,Joshua Harris-Till,DEM,10003,0,0,12,12,02
Adair,Governor,Dax Ewbank,REP,10003,0,0,3,3,
Adair,Governor,Chad Moody,REP,10003,0,0,10,10,
Adair,Governor,Mary Fallin,REP,10003,0,3,25,28,
Adair,Superintendent of Public Instruction,Brian Kelly,REP,10003,0,0,11,11,
Adair,Superintendent of Public Instruction,Janet Costello Barresi,REP,10003,0,2,9,11,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10003,0,1,15,16,
Adair,Insurance Commissioner,Bill Viner,REP,10003,0,0,6,6,
Adair,Insurance Commissioner,John Doak,REP,10003,0,3,25,28,
Adair,Corporation Commissioner,Todd Hiett,REP,10003,0,3,27,30,
Adair,Corporation Commissioner,Cliff Branan,REP,10003,0,0,8,8,
Adair,U.S. Senate,Evelyn Rogers,REP,10003,0,0,0,0,
Adair,U.S. Senate,Rob Moye,REP,10003,0,0,1,1,
Adair,U.S. Senate,D. Jean Mcbride-Samuels,REP,10003,0,0,0,0,
Adair,U.S. Senate,Jim Inhofe,REP,10003,0,3,32,35,
Adair,U.S. Senate,Erick Paul Wyatt,REP,10003,0,0,3,3,
Adair,U.S. Senate,Andy Craig,REP,10003,0,0,0,0,
Adair,U.S. Senate,T. Shannon,REP,10003,0,0,16,16,
Adair,U.S. Senate,Randy Brogdon,REP,10003,0,0,3,3,
Adair,U.S. Senate,Eric Mccray,REP,10003,0,0,2,2,
Adair,U.S. Senate,Kevin Crow,REP,10003,0,0,2,2,
Adair,U.S. Senate,James Lankford,REP,10003,0,3,15,18,
Adair,U.S. Senate,Jason Weger,REP,10003,0,0,0,0,
Adair,U.S. House,Darrel Robertson,REP,10003,0,0,3,3,02
Adair,U.S. House,Markwayne Mullin,REP,10003,0,3,35,38,02
Adair,Superintendent of Public Instruction,John Cox,DEM,10004,1,4,55,60,
Adair,Superintendent of Public Instruction,Jack Jr.,DEM,10004,0,0,5,5,
Adair,Superintendent of Public Instruction,Ivan Holmes,DEM,10004,1,0,8,9,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10004,2,0,12,14,
Adair,U.S. Senate,Patrick Michael Hayes,DEM,10004,0,1,19,20,
Adair,U.S. Senate,Jim Rogers,DEM,10004,3,1,39,43,
Adair,U.S. Senate,Connie Johnson,DEM,10004,1,1,19,21,
Adair,U.S. House,Earl Everett,DEM,10004,4,2,51,57,02
Adair,U.S. House,Joshua Harris-Till,DEM,10004,0,1,24,25,02
Adair,Governor,Dax Ewbank,REP,10004,0,0,3,3,
Adair,Governor,Chad Moody,REP,10004,0,3,8,11,
Adair,Governor,Mary Fallin,REP,10004,0,8,25,33,
Adair,Superintendent of Public Instruction,Brian Kelly,REP,10004,0,2,11,13,
Adair,Superintendent of Public Instruction,Janet Costello Barresi,REP,10004,0,4,5,9,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10004,0,5,20,25,
Adair,Insurance Commissioner,Bill Viner,REP,10004,0,4,11,15,
Adair,Insurance Commissioner,John Doak,REP,10004,0,7,22,29,
Adair,Corporation Commissioner,Todd Hiett,REP,10004,0,7,10,17,
Adair,Corporation Commissioner,Cliff Branan,REP,10004,0,4,23,27,
Adair,U.S. Senate,Evelyn Rogers,REP,10004,0,0,2,2,
Adair,U.S. Senate,Rob Moye,REP,10004,0,0,0,0,
