county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,total_votes,district
Adair,Superintendent of Public Instruction,John Cox,DEM,10001,5,0,33,38,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10001,0,0,4,4,
Adair,U.S. Senate,Connie Johnson,DEM,10001,1,0,11,12,
Adair,U.S. Senate,Jim Rogers,DEM,10001,4,0,25,29,
Adair,Superintendent of Public Instruction,John Cox,DEM,10002,2,1,27,30,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10002,0,0,7,7,
Adair,U.S. Senate,Connie Johnson,DEM,10002,1,1,11,13,
Adair,U.S. Senate,Jim Rogers,DEM,10002,1,0,23,24,
Adair,Superintendent of Public Instruction,John Cox,DEM,10003,0,0,7,7,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10003,0,0,5,5,
Adair,U.S. Senate,Connie Johnson,DEM,10003,0,0,5,5,
Adair,U.S. Senate,Jim Rogers,DEM,10003,0,0,7,7,
Adair,Superintendent of Public Instruction,John Cox,DEM,10004,2,2,31,35,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10004,2,0,2,4,
Adair,U.S. Senate,Connie Johnson,DEM,10004,2,1,7,10,
Adair,U.S. Senate,Jim Rogers,DEM,10004,2,1,26,29,
Adair,Superintendent of Public Instruction,John Cox,DEM,10005,0,0,23,23,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10005,0,0,1,1,
Adair,U.S. Senate,Connie Johnson,DEM,10005,0,0,3,3,
Adair,U.S. Senate,Jim Rogers,DEM,10005,0,0,18,18,
Adair,Superintendent of Public Instruction,John Cox,DEM,10006,1,5,53,59,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10006,0,0,4,4,
Adair,U.S. Senate,Connie Johnson,DEM,10006,0,2,19,21,
Adair,U.S. Senate,Jim Rogers,DEM,10006,1,3,38,42,
Adair,Superintendent of Public Instruction,John Cox,DEM,10007,0,12,90,102,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10007,0,0,7,7,
Adair,U.S. Senate,Connie Johnson,DEM,10007,0,6,37,43,
Adair,U.S. Senate,Jim Rogers,DEM,10007,0,6,56,62,
Adair,Superintendent of Public Instruction,John Cox,DEM,10008,2,8,68,78,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10008,0,0,1,1,
Adair,U.S. Senate,Connie Johnson,DEM,10008,2,5,14,21,
Adair,U.S. Senate,Jim Rogers,DEM,10008,0,3,54,57,
Adair,Superintendent of Public Instruction,John Cox,DEM,10010,0,0,14,14,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10010,0,0,4,4,
Adair,U.S. Senate,Connie Johnson,DEM,10010,0,0,8,8,
Adair,U.S. Senate,Jim Rogers,DEM,10010,0,0,10,10,
Adair,Superintendent of Public Instruction,John Cox,DEM,10011,1,0,16,17,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10011,2,0,0,2,
Adair,U.S. Senate,Connie Johnson,DEM,10011,3,0,3,6,
Adair,U.S. Senate,Jim Rogers,DEM,10011,0,0,12,12,
Adair,Superintendent of Public Instruction,John Cox,DEM,10012,0,2,26,28,
Adair,Superintendent of Public Instruction,Freda Deskin,DEM,10012,1,0,2,3,
