County,Office,District,Party,Candidate,Votes
DELAWARE,State Senate,5,(D),LeROY HENDREN,"4,889"
DELAWARE,State Senate,5,(R),DOUG COX,"7,304"
MAYES,State Senate,5,(D),LeROY HENDREN,"1,556"
MAYES,State Senate,5,(R),DOUG COX,"1,030"
MAYES,State Senate,8,(D),BEN SHERRER,"6,944"
MAYES,State Senate,8,(R),BILL KENDRICK,"4,036"
ROGERS,State Senate,8,(D),BEN SHERRER,"2,091"
ROGERS,State Senate,8,(R),BILL KENDRICK,"1,442"
WAGONER,State Senate,8,(D),BEN SHERRER,132
WAGONER,State Senate,8,(R),BILL KENDRICK,157
ROGERS,State Senate,9,(D),HARVEY SWIFT,"7,194"
ROGERS,State Senate,9,(R),TAD JONES,"10,653"
NOWATA,State Senate,10,(D),JUDY TAYLOR,"2,296"
NOWATA,State Senate,10,(R),STEVE MARTIN,"2,059"
OSAGE,State Senate,10,(D),JUDY TAYLOR,338
OSAGE,State Senate,10,(R),STEVE MARTIN,533
WASHINGTON,State Senate,10,(D),JUDY TAYLOR,"4,011"
WASHINGTON,State Senate,10,(R),STEVE MARTIN,"4,715"
TULSA,State Senate,11,(D),WILLIAM BIXLER,"1,329"
TULSA,State Senate,11,(R),MIKE WILT,"2,020"
WASHINGTON,State Senate,11,(D),WILLIAM BIXLER,"3,540"
WASHINGTON,State Senate,11,(R),MIKE WILT,"10,645"
ROGERS,State Senate,12,(D),WADE ROUSSELOT,216
ROGERS,State Senate,12,(R),MARK WOFFORD,285
WAGONER,State Senate,12,(D),WADE ROUSSELOT,"7,431"
WAGONER,State Senate,12,(R),MARK WOFFORD,"7,123"
MUSKOGEE,State Senate,13,(D),JERRY McPEAK,"6,179"
MUSKOGEE,State Senate,13,(R),STUART ERICSON,"5,462"
WAGONER,State Senate,13,(D),JERRY McPEAK,780
WAGONER,State Senate,13,(R),STUART ERICSON,"1,051"
CHEROKEE,State Senate,14,(D),BARBARA STAGGS,"1,152"
CHEROKEE,State Senate,14,(R),FROSTON BACK,465
MUSKOGEE,State Senate,14,(D),BARBARA STAGGS,"9,197"
MUSKOGEE,State Senate,14,(R),FROSTON BACK,"3,003"
HASKELL,State Senate,15,(D),RAY MILLER,"3,199"
HASKELL,State Senate,15,(R),JEFF PHILLIPS,"1,657"
LeFLORE,State Senate,15,(D),RAY MILLER,941
LeFLORE,State Senate,15,(R),JEFF PHILLIPS,558
McINTOSH,State Senate,15,(D),RAY MILLER,"2,301"
McINTOSH,State Senate,15,(R),JEFF PHILLIPS,"1,540"
MUSKOGEE,State Senate,15,(D),RAY MILLER,"1,131"
MUSKOGEE,State Senate,15,(R),JEFF PHILLIPS,524
SEQUOYAH,State Senate,15,(D),RAY MILLER,"1,187"
SEQUOYAH,State Senate,15,(R),JEFF PHILLIPS,821
MUSKOGEE,State Senate,16,(D),JERRY SHOEMAKE,"1,236"
MUSKOGEE,State Senate,16,(R),GARLAND FOSTER,498
OKMULGEE,State Senate,16,(D),JERRY SHOEMAKE,"7,972"
OKMULGEE,State Senate,16,(R),GARLAND FOSTER,"2,843"
WAGONER,State Senate,16,(D),JERRY SHOEMAKE,178
WAGONER,State Senate,16,(R),GARLAND FOSTER,200
HASKELL,State Senate,17,(D),MIKE MASS,144
HASKELL,State Senate,17,(R),MARK HALYARD,78
LATIMER,State Senate,17,(D),MIKE MASS,"2,712"
LATIMER,State Senate,17,(R),MARK HALYARD,"1,555"
LeFLORE,State Senate,17,(D),MIKE MASS,621
LeFLORE,State Senate,17,(R),MARK HALYARD,400
PITTSBURG,State Senate,17,(D),MIKE MASS,"5,615"
PITTSBURG,State Senate,17,(R),MARK HALYARD,"3,332"
McINTOSH,State Senate,18,(D),TERRY HARRISON,"3,391"
McINTOSH,State Senate,18,(R),ALLEN HARSHAW,"1,416"
PITTSBURG,State Senate,18,(D),TERRY HARRISON,"6,474"
PITTSBURG,State Senate,18,(R),ALLEN HARSHAW,"2,618"
CHOCTAW,State Senate,19,(D),PATRICK PRUETT,"4,541"
LeFLORE,State Senate,19,(D),PATRICK PRUETT,"1,670"
McCURTAIN,State Senate,19,(D),PATRICK PRUETT,74
PUSHMATAHA,State Senate,19,(D),PATRICK PRUETT,"3,891"
ATOKA,State Senate,20,(D),PAUL ROAN,"2,627"
ATOKA,State Senate,20,(R),TOM STEPHENS,"2,242"
BRYAN,State Senate,20,(D),PAUL ROAN,564
BRYAN,State Senate,20,(R),TOM STEPHENS,347
COAL,State Senate,20,(D),PAUL ROAN,"1,700"
COAL,State Senate,20,(R),TOM STEPHENS,785
JOHNSTON,State Senate,20,(D),PAUL ROAN,"3,160"
JOHNSTON,State Senate,20,(R),TOM STEPHENS,969
PONTOTOC,State Senate,20,(D),PAUL ROAN,450
PONTOTOC,State Senate,20,(R),TOM STEPHENS,213
CLEVELAND,State Senate,22,(D),WES HILLIARD,610
CLEVELAND,State Senate,22,(R),PRESTON EDGAR,847
GARVIN,State Senate,22,(D),WES HILLIARD,"2,677"
GARVIN,State Senate,22,(R),PRESTON EDGAR,"1,837"
McCLAIN,State Senate,22,(D),WES HILLIARD,376
McCLAIN,State Senate,22,(R),PRESTON EDGAR,337
MURRAY,State Senate,22,(D),WES HILLIARD,"3,394"
MURRAY,State Senate,22,(R),PRESTON EDGAR,"2,227"
PONTOTOC,State Senate,22,(D),WES HILLIARD,275
PONTOTOC,State Senate,22,(R),PRESTON EDGAR,307
TULSA,State Senate,23,(D),MITCHELL GARRETT,"4,728"
TULSA,State Senate,23,(R),SUE TIBBS,"7,658"
