County,Office,District,Party,Candidate,Votes
ADAIR,Corporation Commissioner,,(D),John Wylie,"2,999"
ADAIR,Corporation Commissioner,,(R),Denise Bode,"3,855"
ALFALFA,Corporation Commissioner,,(D),John Wylie,602
ALFALFA,Corporation Commissioner,,(R),Denise Bode,"1,880"
ATOKA,Corporation Commissioner,,(D),John Wylie,"2,393"
ATOKA,Corporation Commissioner,,(R),Denise Bode,"2,114"
BEAVER,Corporation Commissioner,,(D),John Wylie,444
BEAVER,Corporation Commissioner,,(R),Denise Bode,"1,898"
BECKHAM,Corporation Commissioner,,(D),John Wylie,"2,192"
BECKHAM,Corporation Commissioner,,(R),Denise Bode,"4,723"
BLAINE,Corporation Commissioner,,(D),John Wylie,"1,026"
BLAINE,Corporation Commissioner,,(R),Denise Bode,"3,158"
BRYAN,Corporation Commissioner,,(D),John Wylie,"6,943"
BRYAN,Corporation Commissioner,,(R),Denise Bode,"5,983"
CADDO,Corporation Commissioner,,(D),John Wylie,"4,043"
CADDO,Corporation Commissioner,,(R),Denise Bode,"5,598"
CANADIAN,Corporation Commissioner,,(D),John Wylie,"8,950"
CANADIAN,Corporation Commissioner,,(R),Denise Bode,"31,079"
CARTER,Corporation Commissioner,,(D),John Wylie,"7,202"
CARTER,Corporation Commissioner,,(R),Denise Bode,"9,691"
CHEROKEE,Corporation Commissioner,,(D),John Wylie,"9,007"
CHEROKEE,Corporation Commissioner,,(R),Denise Bode,"8,187"
CHOCTAW,Corporation Commissioner,,(D),John Wylie,"3,235"
CHOCTAW,Corporation Commissioner,,(R),Denise Bode,"1,986"
CIMARRON,Corporation Commissioner,,(D),John Wylie,358
CIMARRON,Corporation Commissioner,,(R),Denise Bode,888
CLEVELAND,Corporation Commissioner,,(D),John Wylie,"29,863"
CLEVELAND,Corporation Commissioner,,(R),Denise Bode,"61,569"
COAL,Corporation Commissioner,,(D),John Wylie,"1,397"
COAL,Corporation Commissioner,,(R),Denise Bode,919
COMANCHE,Corporation Commissioner,,(D),John Wylie,"10,571"
COMANCHE,Corporation Commissioner,,(R),Denise Bode,"19,827"
COTTON,Corporation Commissioner,,(D),John Wylie,941
COTTON,Corporation Commissioner,,(R),Denise Bode,"1,467"
CRAIG,Corporation Commissioner,,(D),John Wylie,"2,882"
CRAIG,Corporation Commissioner,,(R),Denise Bode,"3,058"
CREEK,Corporation Commissioner,,(D),John Wylie,"9,939"
CREEK,Corporation Commissioner,,(R),Denise Bode,"16,600"
CUSTER,Corporation Commissioner,,(D),John Wylie,"2,990"
CUSTER,Corporation Commissioner,,(R),Denise Bode,"7,011"
DELAWARE,Corporation Commissioner,,(D),John Wylie,"6,453"
DELAWARE,Corporation Commissioner,,(R),Denise Bode,"7,890"
DEWEY,Corporation Commissioner,,(D),John Wylie,572
DEWEY,Corporation Commissioner,,(R),Denise Bode,"1,530"
ELLIS,Corporation Commissioner,,(D),John Wylie,463
ELLIS,Corporation Commissioner,,(R),Denise Bode,"1,466"
GARFIELD,Corporation Commissioner,,(D),John Wylie,"5,082"
GARFIELD,Corporation Commissioner,,(R),Denise Bode,"16,532"
GARVIN,Corporation Commissioner,,(D),John Wylie,"4,141"
GARVIN,Corporation Commissioner,,(R),Denise Bode,"6,340"
GRADY,Corporation Commissioner,,(D),John Wylie,"6,017"
GRADY,Corporation Commissioner,,(R),Denise Bode,"12,615"
GRANT,Corporation Commissioner,,(D),John Wylie,624
GRANT,Corporation Commissioner,,(R),Denise Bode,"1,728"
GREER,Corporation Commissioner,,(D),John Wylie,762
GREER,Corporation Commissioner,,(R),Denise Bode,"1,278"
HARMON,Corporation Commissioner,,(D),John Wylie,418
HARMON,Corporation Commissioner,,(R),Denise Bode,611
HARPER,Corporation Commissioner,,(D),John Wylie,320
HARPER,Corporation Commissioner,,(R),Denise Bode,"1,197"
HASKELL,Corporation Commissioner,,(D),John Wylie,"2,597"
HASKELL,Corporation Commissioner,,(R),Denise Bode,"2,192"
HUGHES,Corporation Commissioner,,(D),John Wylie,"2,335"
HUGHES,Corporation Commissioner,,(R),Denise Bode,"2,563"
JACKSON,Corporation Commissioner,,(D),John Wylie,"2,375"
JACKSON,Corporation Commissioner,,(R),Denise Bode,"6,150"
JEFFERSON,Corporation Commissioner,,(D),John Wylie,"1,181"
JEFFERSON,Corporation Commissioner,,(R),Denise Bode,"1,146"
JOHNSTON,Corporation Commissioner,,(D),John Wylie,"2,155"
JOHNSTON,Corporation Commissioner,,(R),Denise Bode,"1,760"
KAY,Corporation Commissioner,,(D),John Wylie,"5,969"
KAY,Corporation Commissioner,,(R),Denise Bode,"12,659"
KINGFISHER,Corporation Commissioner,,(D),John Wylie,"1,229"
