county,candidate,party,votes
ADAIR,George W. Bush,REP,"4,971"
ADAIR,John F. Kerry,DEM,"2,562"
ALFALFA,George W. Bush,REP,"2,201"
ALFALFA,John F. Kerry,DEM,470
ATOKA,George W. Bush,REP,"3,142"
ATOKA,John F. Kerry,DEM,"1,946"
BEAVER,George W. Bush,REP,"2,272"
BEAVER,John F. Kerry,DEM,297
BECKHAM,George W. Bush,REP,"5,454"
BECKHAM,John F. Kerry,DEM,"1,931"
BLAINE,George W. Bush,REP,"3,199"
BLAINE,John F. Kerry,DEM,"1,222"
BRYAN,George W. Bush,REP,"8,615"
BRYAN,John F. Kerry,DEM,"5,745"
CADDO,George W. Bush,REP,"6,491"
CADDO,John F. Kerry,DEM,"3,916"
CANADIAN,George W. Bush,REP,"33,297"
CANADIAN,John F. Kerry,DEM,"9,712"
CARTER,George W. Bush,REP,"12,178"
CARTER,John F. Kerry,DEM,"6,466"
CHEROKEE,George W. Bush,REP,"9,569"
CHEROKEE,John F. Kerry,DEM,"8,623"
CHOCTAW,George W. Bush,REP,"3,168"
CHOCTAW,John F. Kerry,DEM,"2,639"
CIMARRON,George W. Bush,REP,"1,242"
CIMARRON,John F. Kerry,DEM,184
CLEVELAND,George W. Bush,REP,"65,720"
CLEVELAND,John F. Kerry,DEM,"34,007"
COAL,George W. Bush,REP,"1,396"
COAL,John F. Kerry,DEM,"1,203"
COMANCHE,George W. Bush,REP,"21,170"
COMANCHE,John F. Kerry,DEM,"12,022"
COTTON,George W. Bush,REP,"1,742"
COTTON,John F. Kerry,DEM,898
CRAIG,George W. Bush,REP,"3,894"
CRAIG,John F. Kerry,DEM,"2,504"
CREEK,George W. Bush,REP,"18,848"
CREEK,John F. Kerry,DEM,"9,929"
CUSTER,George W. Bush,REP,"7,839"
CUSTER,John F. Kerry,DEM,"2,801"
DELAWARE,George W. Bush,REP,"10,017"
DELAWARE,John F. Kerry,DEM,"5,591"
DEWEY,George W. Bush,REP,"1,843"
DEWEY,John F. Kerry,DEM,408
ELLIS,George W. Bush,REP,"1,685"
ELLIS,John F. Kerry,DEM,395
GARFIELD,George W. Bush,REP,"17,685"
GARFIELD,John F. Kerry,DEM,"5,586"
GARVIN,George W. Bush,REP,"7,610"
GARVIN,John F. Kerry,DEM,"3,707"
GRADY,George W. Bush,REP,"14,136"
GRADY,John F. Kerry,DEM,"5,970"
GRANT,George W. Bush,REP,"1,950"
GRANT,John F. Kerry,DEM,571
GREER,George W. Bush,REP,"1,529"
GREER,John F. Kerry,DEM,719
HARMON,George W. Bush,REP,838
HARMON,John F. Kerry,DEM,354
HARPER,George W. Bush,REP,"1,397"
HARPER,John F. Kerry,DEM,268
HASKELL,George W. Bush,REP,"2,946"
HASKELL,John F. Kerry,DEM,"2,378"
HUGHES,George W. Bush,REP,"3,066"
HUGHES,John F. Kerry,DEM,"2,283"
JACKSON,George W. Bush,REP,"7,024"
JACKSON,John F. Kerry,DEM,"2,232"
JEFFERSON,George W. Bush,REP,"1,546"
JEFFERSON,John F. Kerry,DEM,"1,057"
JOHNSTON,George W. Bush,REP,"2,635"
JOHNSTON,John F. Kerry,DEM,"1,713"
KAY,George W. Bush,REP,"14,121"
