county,candidate,party,votes
KAY,John F. Kerry,DEM,"5,957"
KINGFISHER,George W. Bush,REP,"5,630"
KINGFISHER,John F. Kerry,DEM,"1,022"
KIOWA,George W. Bush,REP,"2,610"
KIOWA,John F. Kerry,DEM,"1,413"
LATIMER,George W. Bush,REP,"2,535"
LATIMER,John F. Kerry,DEM,"1,945"
LeFLORE,George W. Bush,REP,"10,683"
LeFLORE,John F. Kerry,DEM,"6,741"
LINCOLN,George W. Bush,REP,"10,149"
LINCOLN,John F. Kerry,DEM,"4,041"
LOGAN,George W. Bush,REP,"11,474"
LOGAN,John F. Kerry,DEM,"4,869"
LOVE,George W. Bush,REP,"2,295"
LOVE,John F. Kerry,DEM,"1,538"
McCLAIN,George W. Bush,REP,"10,041"
McCLAIN,John F. Kerry,DEM,"3,742"
McCURTAIN,George W. Bush,REP,"7,472"
McCURTAIN,John F. Kerry,DEM,"3,684"
McINTOSH,George W. Bush,REP,"4,692"
McINTOSH,John F. Kerry,DEM,"4,488"
MAJOR,George W. Bush,REP,"3,122"
MAJOR,John F. Kerry,DEM,537
MARSHALL,George W. Bush,REP,"3,363"
MARSHALL,John F. Kerry,DEM,"2,088"
MAYES,George W. Bush,REP,"9,946"
MAYES,John F. Kerry,DEM,"6,933"
MURRAY,George W. Bush,REP,"3,665"
MURRAY,John F. Kerry,DEM,"2,130"
MUSKOGEE,George W. Bush,REP,"15,124"
MUSKOGEE,John F. Kerry,DEM,"12,585"
NOBLE,George W. Bush,REP,"3,993"
NOBLE,John F. Kerry,DEM,"1,335"
NOWATA,George W. Bush,REP,"2,805"
NOWATA,John F. Kerry,DEM,"1,660"
OKFUSKEE,George W. Bush,REP,"2,542"
OKFUSKEE,John F. Kerry,DEM,"1,743"
OKLAHOMA,George W. Bush,REP,"174,741"
OKLAHOMA,John F. Kerry,DEM,"97,298"
OKMULGEE,George W. Bush,REP,"8,363"
OKMULGEE,John F. Kerry,DEM,"7,367"
OSAGE,George W. Bush,REP,"11,467"
OSAGE,John F. Kerry,DEM,"8,068"
OTTAWA,George W. Bush,REP,"7,443"
OTTAWA,John F. Kerry,DEM,"5,086"
PAWNEE,George W. Bush,REP,"4,412"
PAWNEE,John F. Kerry,DEM,"2,564"
PAYNE,George W. Bush,REP,"19,560"
PAYNE,John F. Kerry,DEM,"10,101"
PITTSBURG,George W. Bush,REP,"11,134"
PITTSBURG,John F. Kerry,DEM,"7,452"
PONTOTOC,George W. Bush,REP,"9,647"
PONTOTOC,John F. Kerry,DEM,"5,165"
POTTAWATOMIE,George W. Bush,REP,"17,215"
POTTAWATOMIE,John F. Kerry,DEM,"8,638"
PUSHMATAHA,George W. Bush,REP,"2,863"
PUSHMATAHA,John F. Kerry,DEM,"1,934"
ROGER MILLS,George W. Bush,REP,"1,388"
ROGER MILLS,John F. Kerry,DEM,382
ROGERS,George W. Bush,REP,"24,976"
ROGERS,John F. Kerry,DEM,"11,918"
SEMINOLE,George W. Bush,REP,"5,624"
SEMINOLE,John F. Kerry,DEM,"3,648"
SEQUOYAH,George W. Bush,REP,"8,865"
SEQUOYAH,John F. Kerry,DEM,"5,910"
STEPHENS,George W. Bush,REP,"13,646"
STEPHENS,John F. Kerry,DEM,"5,515"
TEXAS,George W. Bush,REP,"5,450"
TEXAS,John F. Kerry,DEM,"1,016"
TILLMAN,George W. Bush,REP,"2,273"
TILLMAN,John F. Kerry,DEM,"1,175"
TULSA,George W. Bush,REP,"163,452"
TULSA,John F. Kerry,DEM,"90,220"
WAGONER,George W. Bush,REP,"19,081"
WAGONER,John F. Kerry,DEM,"9,157"
WASHINGTON,George W. Bush,REP,"16,551"
WASHINGTON,John F. Kerry,DEM,"6,862"
WASHITA,George W. Bush,REP,"3,705"
WASHITA,John F. Kerry,DEM,"1,340"
WOODS,George W. Bush,REP,"3,166"
WOODS,John F. Kerry,DEM,932
WOODWARD,George W. Bush,REP,"6,193"
WOODWARD,John F. Kerry,DEM,"1,458"
STATE TOTAL:,George W. Bush,REP,"959,792"
STATE TOTAL:,John F. Kerry,DEM,"503,966"
