County,Office,District,Party,Candidate,Votes
CREEK,U.S. House of Represenatives,1,(D),DOUG DODD,895
CREEK,U.S. House of Represenatives,1,(R),JOHN SULLIVAN,"1,535"
CREEK,U.S. House of Represenatives,1,(I),JOHN KRYMSKI,75
ROGERS,U.S. House of Represenatives,1,(D),DOUG DODD,"2,767"
ROGERS,U.S. House of Represenatives,1,(R),JOHN SULLIVAN,"5,244"
ROGERS,U.S. House of Represenatives,1,(I),JOHN KRYMSKI,232
TULSA,U.S. House of Represenatives,1,(D),DOUG DODD,"95,371"
TULSA,U.S. House of Represenatives,1,(R),JOHN SULLIVAN,"148,464"
TULSA,U.S. House of Represenatives,1,(I),JOHN KRYMSKI,"5,564"
WAGONER,U.S. House of Represenatives,1,(D),DOUG DODD,"10,118"
WAGONER,U.S. House of Represenatives,1,(R),JOHN SULLIVAN,"17,015"
WAGONER,U.S. House of Represenatives,1,(I),JOHN KRYMSKI,642
WASHINGTON,U.S. House of Represenatives,1,(D),DOUG DODD,"7,580"
WASHINGTON,U.S. House of Represenatives,1,(R),JOHN SULLIVAN,"14,887"
WASHINGTON,U.S. House of Represenatives,1,(I),JOHN KRYMSKI,545
ADAIR,U.S. House of Represenatives,2,(D),DAN BOREN,"4,877"
ADAIR,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"2,391"
ATOKA,U.S. House of Represenatives,2,(D),DAN BOREN,"3,268"
ATOKA,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"1,653"
BRYAN,U.S. House of Represenatives,2,(D),DAN BOREN,"9,383"
BRYAN,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"4,407"
CHEROKEE,U.S. House of Represenatives,2,(D),DAN BOREN,"12,403"
CHEROKEE,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"5,368"
CHOCTAW,U.S. House of Represenatives,2,(D),DAN BOREN,"4,066"
CHOCTAW,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"1,542"
COAL,U.S. House of Represenatives,2,(D),DAN BOREN,"1,936"
COAL,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,591
CRAIG,U.S. House of Represenatives,2,(D),DAN BOREN,"4,005"
CRAIG,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"2,239"
DELAWARE,U.S. House of Represenatives,2,(D),DAN BOREN,"8,803"
DELAWARE,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"6,273"
HASKELL,U.S. House of Represenatives,2,(D),DAN BOREN,"3,780"
HASKELL,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"1,359"
HUGHES,U.S. House of Represenatives,2,(D),DAN BOREN,"3,868"
HUGHES,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"1,298"
JOHNSTON,U.S. House of Represenatives,2,(D),DAN BOREN,"3,157"
JOHNSTON,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"1,045"
LATIMER,U.S. House of Represenatives,2,(D),DAN BOREN,"3,070"
LATIMER,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"1,282"
LeFLORE,U.S. House of Represenatives,2,(D),DAN BOREN,"10,801"
LeFLORE,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"5,969"
McCURTAIN,U.S. House of Represenatives,2,(D),DAN BOREN,"6,906"
McCURTAIN,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"3,744"
McINTOSH,U.S. House of Represenatives,2,(D),DAN BOREN,"6,355"
McINTOSH,U.S. House of Represenatives,2,(R),WAYLAND SMALLEY,"2,576"
