county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,total_votes,district
Adair,Governor,Mick Cornett,REP,10001,0,0,17,17,
Adair,Governor,Kevin Stitt,REP,10001,0,0,29,29,
Adair,Lieutenant Governor,Dana Murphy,REP,10001,0,0,24,24,
Adair,Lieutenant Governor,Matt Pinnell,REP,10001,0,0,21,21,
Adair,State Auditor,Cindy Byrd,REP,10001,0,0,22,22,
Adair,State Auditor,Charlie Prater,REP,10001,0,0,20,20,
Adair,Attorney General,Mike Hunter,REP,10001,0,0,19,19,
Adair,Attorney General,Gentner Drummond,REP,10001,0,0,26,26,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10001,0,0,23,23,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10001,0,0,22,22,
Adair,Commissioner of Labor,Cathy Costello,REP,10001,0,0,16,16,
Adair,Commissioner of Labor,Leslie Osborn,REP,10001,0,0,28,28,
Adair,Corporation Commissioner,Bob Anthony,REP,10001,0,0,20,20,
Adair,Corporation Commissioner,Brian Bingman,REP,10001,0,0,23,23,
Adair,Governor,Chris Powell,LIB,10001,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10001,0,0,2,2,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10001,0,5,31,36,
Adair,Corporation Commissioner,Blake Cummings,DEM,10001,10,5,36,51,
Adair,U.S. House,Jason Nichols,DEM,10001,1,4,44,49,02
Adair,U.S. House,Clay Padgett,DEM,10001,11,6,25,42,02
Adair,Governor,Mick Cornett,REP,10002,0,0,13,13,
Adair,Governor,Kevin Stitt,REP,10002,0,2,33,35,
Adair,Lieutenant Governor,Dana Murphy,REP,10002,0,1,20,21,
Adair,Lieutenant Governor,Matt Pinnell,REP,10002,0,0,24,24,
Adair,State Auditor,Cindy Byrd,REP,10002,0,1,21,22,
Adair,State Auditor,Charlie Prater,REP,10002,0,0,23,23,
Adair,Attorney General,Mike Hunter,REP,10002,0,1,18,19,
Adair,Attorney General,Gentner Drummond,REP,10002,0,1,30,31,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10002,0,0,23,23,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10002,0,0,25,25,
Adair,Commissioner of Labor,Cathy Costello,REP,10002,0,0,21,21,
Adair,Commissioner of Labor,Leslie Osborn,REP,10002,0,0,24,24,
Adair,Corporation Commissioner,Bob Anthony,REP,10002,0,0,20,20,
Adair,Corporation Commissioner,Brian Bingman,REP,10002,0,0,26,26,
Adair,Governor,Chris Powell,LIB,10002,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10002,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10002,1,2,28,31,
Adair,Corporation Commissioner,Blake Cummings,DEM,10002,1,1,30,32,
Adair,U.S. House,Jason Nichols,DEM,10002,2,2,44,48,02
Adair,U.S. House,Clay Padgett,DEM,10002,1,1,15,17,02
Adair,Governor,Mick Cornett,REP,10003,2,0,10,12,
Adair,Governor,Kevin Stitt,REP,10003,0,0,23,23,
Adair,Lieutenant Governor,Dana Murphy,REP,10003,0,0,8,8,
Adair,Lieutenant Governor,Matt Pinnell,REP,10003,2,0,25,27,
Adair,State Auditor,Cindy Byrd,REP,10003,0,0,16,16,
Adair,State Auditor,Charlie Prater,REP,10003,2,0,17,19,
Adair,Attorney General,Mike Hunter,REP,10003,0,0,17,17,
Adair,Attorney General,Gentner Drummond,REP,10003,2,0,16,18,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10003,2,0,16,18,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10003,0,0,17,17,
Adair,Commissioner of Labor,Cathy Costello,REP,10003,2,0,18,20,
Adair,Commissioner of Labor,Leslie Osborn,REP,10003,0,0,14,14,
Adair,Corporation Commissioner,Bob Anthony,REP,10003,0,0,16,16,
Adair,Corporation Commissioner,Brian Bingman,REP,10003,2,0,16,18,
Adair,Governor,Chris Powell,LIB,10003,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10003,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10003,0,0,15,15,
Adair,Corporation Commissioner,Blake Cummings,DEM,10003,0,0,12,12,
Adair,U.S. House,Jason Nichols,DEM,10003,0,0,18,18,02
Adair,U.S. House,Clay Padgett,DEM,10003,0,0,9,9,02
Adair,Governor,Mick Cornett,REP,10004,0,3,10,13,
Adair,Governor,Kevin Stitt,REP,10004,3,3,25,31,
Adair,Lieutenant Governor,Dana Murphy,REP,10004,2,3,18,23,
Adair,Lieutenant Governor,Matt Pinnell,REP,10004,1,3,15,19,
Adair,State Auditor,Cindy Byrd,REP,10004,1,5,15,21,
Adair,State Auditor,Charlie Prater,REP,10004,2,1,18,21,
Adair,Attorney General,Mike Hunter,REP,10004,2,0,18,20,
Adair,Attorney General,Gentner Drummond,REP,10004,1,6,17,24,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10004,2,6,15,23,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10004,1,0,18,19,
Adair,Commissioner of Labor,Cathy Costello,REP,10004,2,3,18,23,
Adair,Commissioner of Labor,Leslie Osborn,REP,10004,1,3,13,17,
Adair,Corporation Commissioner,Bob Anthony,REP,10004,2,5,14,21,
Adair,Corporation Commissioner,Brian Bingman,REP,10004,1,1,18,20,
Adair,Governor,Chris Powell,LIB,10004,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10004,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10004,0,7,26,33,
Adair,Corporation Commissioner,Blake Cummings,DEM,10004,1,2,34,37,
Adair,U.S. House,Jason Nichols,DEM,10004,2,5,33,40,02
Adair,U.S. House,Clay Padgett,DEM,10004,0,4,27,31,02
Adair,Governor,Mick Cornett,REP,10005,0,0,14,14,
Adair,Governor,Kevin Stitt,REP,10005,0,5,43,48,
Adair,Lieutenant Governor,Dana Murphy,REP,10005,0,2,22,24,
Adair,Lieutenant Governor,Matt Pinnell,REP,10005,0,3,34,37,
Adair,State Auditor,Cindy Byrd,REP,10005,0,4,33,37,
Adair,State Auditor,Charlie Prater,REP,10005,0,1,23,24,
Adair,Attorney General,Mike Hunter,REP,10005,0,2,25,27,
Adair,Attorney General,Gentner Drummond,REP,10005,0,3,32,35,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10005,0,2,34,36,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10005,0,3,21,24,
Adair,Commissioner of Labor,Cathy Costello,REP,10005,0,4,27,31,
Adair,Commissioner of Labor,Leslie Osborn,REP,10005,0,1,28,29,
Adair,Corporation Commissioner,Bob Anthony,REP,10005,0,4,24,28,
Adair,Corporation Commissioner,Brian Bingman,REP,10005,0,1,31,32,
Adair,Governor,Chris Powell,LIB,10005,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10005,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10005,1,2,21,24,
Adair,Corporation Commissioner,Blake Cummings,DEM,10005,1,1,37,39,
Adair,U.S. House,Jason Nichols,DEM,10005,1,3,38,42,02
Adair,U.S. House,Clay Padgett,DEM,10005,1,0,21,22,02
Adair,Governor,Mick Cornett,REP,10006,0,0,28,28,
Adair,Governor,Kevin Stitt,REP,10006,1,6,45,52,
Adair,Lieutenant Governor,Dana Murphy,REP,10006,0,3,23,26,
Adair,Lieutenant Governor,Matt Pinnell,REP,10006,1,2,49,52,
Adair,State Auditor,Cindy Byrd,REP,10006,1,5,33,39,
Adair,State Auditor,Charlie Prater,REP,10006,0,0,39,39,
Adair,Attorney General,Mike Hunter,REP,10006,1,2,35,38,
Adair,Attorney General,Gentner Drummond,REP,10006,0,3,38,41,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10006,0,1,44,45,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10006,1,4,28,33,
Adair,Commissioner of Labor,Cathy Costello,REP,10006,0,1,21,22,
Adair,Commissioner of Labor,Leslie Osborn,REP,10006,1,4,51,56,
Adair,Corporation Commissioner,Bob Anthony,REP,10006,0,2,32,34,
Adair,Corporation Commissioner,Brian Bingman,REP,10006,1,3,39,43,
Adair,Governor,Chris Powell,LIB,10006,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10006,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10006,0,8,74,82,
Adair,Corporation Commissioner,Blake Cummings,DEM,10006,3,5,84,92,
Adair,U.S. House,Jason Nichols,DEM,10006,3,7,116,126,02
Adair,U.S. House,Clay Padgett,DEM,10006,0,6,45,51,02
Adair,Governor,Mick Cornett,REP,10007,0,1,23,24,
Adair,Governor,Kevin Stitt,REP,10007,0,1,42,43,
Adair,Lieutenant Governor,Dana Murphy,REP,10007,0,0,18,18,
Adair,Lieutenant Governor,Matt Pinnell,REP,10007,0,2,46,48,
Adair,State Auditor,Cindy Byrd,REP,10007,0,0,30,30,
Adair,State Auditor,Charlie Prater,REP,10007,0,2,35,37,
Adair,Attorney General,Mike Hunter,REP,10007,0,0,36,36,
Adair,Attorney General,Gentner Drummond,REP,10007,0,2,28,30,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10007,0,1,25,26,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10007,0,1,38,39,
Adair,Commissioner of Labor,Cathy Costello,REP,10007,0,2,27,29,
Adair,Commissioner of Labor,Leslie Osborn,REP,10007,0,0,35,35,
Adair,Corporation Commissioner,Bob Anthony,REP,10007,0,1,32,33,
Adair,Corporation Commissioner,Brian Bingman,REP,10007,0,1,31,32,
Adair,Governor,Chris Powell,LIB,10007,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10007,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10007,7,6,67,80,
Adair,Corporation Commissioner,Blake Cummings,DEM,10007,1,4,75,80,
Adair,U.S. House,Jason Nichols,DEM,10007,7,6,97,110,02
Adair,U.S. House,Clay Padgett,DEM,10007,1,4,49,54,02
Adair,Governor,Mick Cornett,REP,10008,0,0,13,13,
Adair,Governor,Kevin Stitt,REP,10008,0,3,35,38,
Adair,Lieutenant Governor,Dana Murphy,REP,10008,0,1,13,14,
Adair,Lieutenant Governor,Matt Pinnell,REP,10008,0,2,35,37,
Adair,State Auditor,Cindy Byrd,REP,10008,0,2,18,20,
Adair,State Auditor,Charlie Prater,REP,10008,0,1,30,31,
Adair,Attorney General,Mike Hunter,REP,10008,0,1,22,23,
Adair,Attorney General,Gentner Drummond,REP,10008,0,2,26,28,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10008,0,2,18,20,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10008,0,1,29,30,
Adair,Commissioner of Labor,Cathy Costello,REP,10008,0,1,17,18,
Adair,Commissioner of Labor,Leslie Osborn,REP,10008,0,2,30,32,
Adair,Corporation Commissioner,Bob Anthony,REP,10008,0,3,15,18,
Adair,Corporation Commissioner,Brian Bingman,REP,10008,0,0,33,33,
Adair,Governor,Chris Powell,LIB,10008,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10008,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10008,0,3,18,21,
Adair,Corporation Commissioner,Blake Cummings,DEM,10008,0,1,19,20,
Adair,U.S. House,Jason Nichols,DEM,10008,0,1,21,22,02
Adair,U.S. House,Clay Padgett,DEM,10008,0,3,16,19,02
Adair,Governor,Mick Cornett,REP,10010,0,0,6,6,
Adair,Governor,Kevin Stitt,REP,10010,0,1,10,11,
Adair,Lieutenant Governor,Dana Murphy,REP,10010,0,0,6,6,
Adair,Lieutenant Governor,Matt Pinnell,REP,10010,0,1,10,11,
Adair,State Auditor,Cindy Byrd,REP,10010,0,1,5,6,
Adair,State Auditor,Charlie Prater,REP,10010,0,0,11,11,
Adair,Attorney General,Mike Hunter,REP,10010,0,0,6,6,
Adair,Attorney General,Gentner Drummond,REP,10010,0,1,10,11,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10010,0,0,7,7,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10010,0,1,9,10,
Adair,Commissioner of Labor,Cathy Costello,REP,10010,0,1,10,11,
Adair,Commissioner of Labor,Leslie Osborn,REP,10010,0,0,6,6,
Adair,Corporation Commissioner,Bob Anthony,REP,10010,0,1,5,6,
Adair,Corporation Commissioner,Brian Bingman,REP,10010,0,0,11,11,
Adair,Governor,Chris Powell,LIB,10010,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10010,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10010,0,3,8,11,
Adair,Corporation Commissioner,Blake Cummings,DEM,10010,0,0,15,15,
Adair,U.S. House,Jason Nichols,DEM,10010,0,2,15,17,02
Adair,U.S. House,Clay Padgett,DEM,10010,0,1,8,9,02
Adair,Governor,Mick Cornett,REP,10011,0,0,8,8,
Adair,Governor,Kevin Stitt,REP,10011,0,0,6,6,
Adair,Lieutenant Governor,Dana Murphy,REP,10011,0,0,5,5,
Adair,Lieutenant Governor,Matt Pinnell,REP,10011,0,0,9,9,
Adair,State Auditor,Cindy Byrd,REP,10011,0,0,5,5,
Adair,State Auditor,Charlie Prater,REP,10011,0,0,9,9,
Adair,Attorney General,Mike Hunter,REP,10011,0,0,6,6,
Adair,Attorney General,Gentner Drummond,REP,10011,0,0,8,8,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10011,0,0,7,7,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10011,0,0,7,7,
Adair,Commissioner of Labor,Cathy Costello,REP,10011,0,0,3,3,
Adair,Commissioner of Labor,Leslie Osborn,REP,10011,0,0,11,11,
Adair,Corporation Commissioner,Bob Anthony,REP,10011,0,0,5,5,
Adair,Corporation Commissioner,Brian Bingman,REP,10011,0,0,9,9,
Adair,Governor,Chris Powell,LIB,10011,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10011,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10011,0,0,5,5,
Adair,Corporation Commissioner,Blake Cummings,DEM,10011,0,3,14,17,
Adair,U.S. House,Jason Nichols,DEM,10011,0,2,11,13,02
Adair,U.S. House,Clay Padgett,DEM,10011,0,2,8,10,02
Adair,Governor,Mick Cornett,REP,10012,0,1,33,34,
Adair,Governor,Kevin Stitt,REP,10012,1,9,42,52,
Adair,Lieutenant Governor,Dana Murphy,REP,10012,0,4,17,21,
Adair,Lieutenant Governor,Matt Pinnell,REP,10012,1,6,58,65,
Adair,State Auditor,Cindy Byrd,REP,10012,0,3,24,27,
Adair,State Auditor,Charlie Prater,REP,10012,1,6,51,58,
Adair,Attorney General,Mike Hunter,REP,10012,0,2,28,30,
Adair,Attorney General,Gentner Drummond,REP,10012,1,7,46,54,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10012,0,4,35,39,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10012,0,6,40,46,
Adair,Commissioner of Labor,Cathy Costello,REP,10012,0,5,24,29,
Adair,Commissioner of Labor,Leslie Osborn,REP,10012,0,4,49,53,
Adair,Corporation Commissioner,Bob Anthony,REP,10012,0,5,26,31,
Adair,Corporation Commissioner,Brian Bingman,REP,10012,1,3,48,52,
Adair,Governor,Chris Powell,LIB,10012,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10012,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10012,1,1,10,12,
Adair,Corporation Commissioner,Blake Cummings,DEM,10012,0,1,26,27,
Adair,U.S. House,Jason Nichols,DEM,10012,1,1,14,16,02
Adair,U.S. House,Clay Padgett,DEM,10012,0,1,22,23,02
Adair,Governor,Mick Cornett,REP,10013,2,0,11,13,
Adair,Governor,Kevin Stitt,REP,10013,0,2,23,25,
Adair,Lieutenant Governor,Dana Murphy,REP,10013,2,0,9,11,
Adair,Lieutenant Governor,Matt Pinnell,REP,10013,0,2,25,27,
Adair,State Auditor,Cindy Byrd,REP,10013,2,0,9,11,
Adair,State Auditor,Charlie Prater,REP,10013,0,2,25,27,
Adair,Attorney General,Mike Hunter,REP,10013,0,2,16,18,
Adair,Attorney General,Gentner Drummond,REP,10013,2,0,18,20,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10013,2,0,15,17,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10013,0,2,19,21,
Adair,Commissioner of Labor,Cathy Costello,REP,10013,2,2,5,9,
Adair,Commissioner of Labor,Leslie Osborn,REP,10013,0,0,29,29,
Adair,Corporation Commissioner,Bob Anthony,REP,10013,2,2,14,18,
Adair,Corporation Commissioner,Brian Bingman,REP,10013,0,0,20,20,
Adair,Governor,Chris Powell,LIB,10013,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10013,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10013,3,1,20,24,
Adair,Corporation Commissioner,Blake Cummings,DEM,10013,6,2,29,37,
Adair,U.S. House,Jason Nichols,DEM,10013,7,1,34,42,02
Adair,U.S. House,Clay Padgett,DEM,10013,2,2,15,19,02
Adair,Governor,Mick Cornett,REP,10014,0,3,12,15,
Adair,Governor,Kevin Stitt,REP,10014,0,3,44,47,
Adair,Lieutenant Governor,Dana Murphy,REP,10014,0,4,24,28,
Adair,Lieutenant Governor,Matt Pinnell,REP,10014,0,2,32,34,
Adair,State Auditor,Cindy Byrd,REP,10014,0,4,24,28,
Adair,State Auditor,Charlie Prater,REP,10014,0,2,30,32,
Adair,Attorney General,Mike Hunter,REP,10014,0,2,22,24,
Adair,Attorney General,Gentner Drummond,REP,10014,0,4,34,38,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10014,0,2,18,20,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10014,0,4,38,42,
Adair,Commissioner of Labor,Cathy Costello,REP,10014,0,2,25,27,
Adair,Commissioner of Labor,Leslie Osborn,REP,10014,0,3,31,34,
Adair,Corporation Commissioner,Bob Anthony,REP,10014,0,1,23,24,
Adair,Corporation Commissioner,Brian Bingman,REP,10014,0,3,33,36,
Adair,Governor,Chris Powell,LIB,10014,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10014,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10014,3,6,35,44,
Adair,Corporation Commissioner,Blake Cummings,DEM,10014,1,2,22,25,
Adair,U.S. House,Jason Nichols,DEM,10014,3,2,38,43,02
Adair,U.S. House,Clay Padgett,DEM,10014,1,5,19,25,02
Adair,Governor,Mick Cornett,REP,10016,1,0,27,28,
Adair,Governor,Kevin Stitt,REP,10016,2,0,36,38,
Adair,Lieutenant Governor,Dana Murphy,REP,10016,2,0,25,27,
Adair,Lieutenant Governor,Matt Pinnell,REP,10016,1,0,38,39,
Adair,State Auditor,Cindy Byrd,REP,10016,1,0,24,25,
Adair,State Auditor,Charlie Prater,REP,10016,2,0,38,40,
Adair,Attorney General,Mike Hunter,REP,10016,1,0,26,27,
Adair,Attorney General,Gentner Drummond,REP,10016,2,0,37,39,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,10016,1,0,31,32,
Adair,Superintendent of Public Instruction,Linda Murphy,REP,10016,2,0,32,34,
Adair,Commissioner of Labor,Cathy Costello,REP,10016,3,0,29,32,
Adair,Commissioner of Labor,Leslie Osborn,REP,10016,0,0,34,34,
Adair,Corporation Commissioner,Bob Anthony,REP,10016,1,0,31,32,
Adair,Corporation Commissioner,Brian Bingman,REP,10016,2,0,32,34,
Adair,Governor,Chris Powell,LIB,10016,0,0,0,0,
Adair,Governor,Rex Lawhorn,LIB,10016,0,0,0,0,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,10016,2,0,15,17,
Adair,Corporation Commissioner,Blake Cummings,DEM,10016,0,1,11,12,
