county,office,candidate,party,absentee,early_votes,election_day,votes,district
Adair,Governor,Chris Powell,LIB,6,22,213,241,
Adair,Governor,Kevin Stitt,REP,68,181,2938,3187,
Adair,Governor,Drew Edmondson,DEM,54,144,1547,1745,
Adair,Lieutenant Governor,Matt Pinnell,REP,77,199,3195,3471,
Adair,Lieutenant Governor,Anastasia Pittman,DEM,47,133,1272,1452,
Adair,Lieutenant Governor,Ivan Holmes,IND,5,13,193,211,
Adair,State Auditor,John Yeutter,LIB,27,90,1016,1133,
Adair,State Auditor,Cindy Byrd,REP,91,228,3393,3712,
Adair,Attorney General,Mike Hunter,REP,83,211,3368,3662,
Adair,Attorney General,Mark Myles,DEM,48,129,1280,1457,
Adair,State Treasurer,Randy Mcdaniel,REP,87,236,3498,3821,
Adair,State Treasurer,Charles De Coune,IND,27,80,904,1011,
Adair,Superintendent of Public Instruction,Joy Hofmeister,REP,71,152,2436,2659,
Adair,Superintendent of Public Instruction,John Cox,DEM,57,167,1878,2102,
Adair,Superintendent of Public Instruction,Larry Huff,IND,3,26,363,392,
Adair,Commissioner of Labor,Leslie Osborn,REP,75,186,2984,3245,
Adair,Commissioner of Labor,Fred Dorrell,DEM,50,139,1401,1590,
Adair,Commissioner of Labor,Brandt Dismukes,IND,6,16,227,249,
Adair,Insurance Commissioner,Glen Mulready,REP,75,195,3100,3370,
Adair,Insurance Commissioner,Kimberly Fobbs,DEM,55,141,1523,1719,
Adair,Corporation Commissioner,Bob Anthony,REP,76,195,2978,3249,
Adair,Corporation Commissioner,Ashley Nicole Mccray,DEM,47,131,1383,1561,
Adair,Corporation Commissioner,Jackie Short,IND,5,13,262,280,
Adair,U.S. House,Richard Castaldo,LIB,4,10,95,109,2
Adair,U.S. House,Markwayne Mullin,REP,77,185,3100,3362,2
Adair,U.S. House,Jason Nichols,DEM,47,142,1340,1529,2
Adair,U.S. House,John Foreman,IND,1,9,167,177,2
Adair,State House,David Hardin,REP,79,186,2952,3217,86
Adair,State House,Rhonda Cox,DEM,50,158,1733,1941,86
Alfalfa,Governor,Chris Powell,LIB,1,4,72,77,
Alfalfa,Governor,Kevin Stitt,REP,41,105,1187,1333,
Alfalfa,Governor,Drew Edmondson,DEM,18,35,338,391,
Alfalfa,Lieutenant Governor,Matt Pinnell,REP,42,125,1325,1492,
Alfalfa,Lieutenant Governor,Anastasia Pittman,DEM,15,14,209,238,
