county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,total_votes,district
Adair,President,Donald Trump,REP,10001,9,27,214,250,
Adair,President,Gary Johnson,LIB,10001,4,4,19,27,
Adair,President,Hillary Clinton,DEM,10001,4,2,72,78,
Adair,U.S. Senate,James Lankford,REP,10001,13,25,211,249,
Adair,U.S. Senate,Robert Murphy,LIB,10001,2,1,8,11,
Adair,U.S. Senate,Mike Workman,DEM,10001,0,6,73,79,
Adair,U.S. Senate,Mark Beard,IND,10001,0,0,4,4,
Adair,U.S. Senate,Sean Braddy,IND,10001,1,0,5,6,
Adair,U.S. House,Markwayne Mullin,REP,10001,14,25,245,284,02
Adair,U.S. House,Joshua Harris-Till,DEM,10001,2,5,54,61,02
Adair,U.S. House,John Mccarthy,IND,10001,1,3,9,13,02
Adair,State Senate,Wayne Shaw,REP,10001,7,21,141,169,3
Adair,State Senate,Rhonda Cox,DEM,10001,9,12,167,188,3
Adair,State House,Rhonda Hopkins,REP,10001,5,12,55,72,86
Adair,State House,Shannon Grimes,LIB,10001,3,1,8,12,86
Adair,State House,Will Fourkiller,DEM,10001,9,20,248,277,86
Adair,President,Donald Trump,REP,10002,4,21,201,226,
Adair,President,Gary Johnson,LIB,10002,0,1,10,11,
Adair,President,Hillary Clinton,DEM,10002,2,0,60,62,
Adair,U.S. Senate,James Lankford,REP,10002,5,18,192,215,
Adair,U.S. Senate,Robert Murphy,LIB,10002,0,1,8,9,
Adair,U.S. Senate,Mike Workman,DEM,10002,1,3,59,63,
Adair,U.S. Senate,Mark Beard,IND,10002,0,0,1,1,
Adair,U.S. Senate,Sean Braddy,IND,10002,0,0,4,4,
Adair,U.S. House,Markwayne Mullin,REP,10002,5,19,207,231,02
Adair,U.S. House,Joshua Harris-Till,DEM,10002,0,2,47,49,02
Adair,U.S. House,John Mccarthy,IND,10002,1,0,11,12,02
Adair,State Senate,Wayne Shaw,REP,10002,4,14,157,175,3
Adair,State Senate,Rhonda Cox,DEM,10002,2,7,106,115,3
Adair,State House,Rhonda Hopkins,REP,10002,4,9,82,95,86
Adair,State House,Shannon Grimes,LIB,10002,0,0,6,6,86
Adair,State House,Will Fourkiller,DEM,10002,2,12,182,196,86
Adair,President,Donald Trump,REP,10003,5,0,91,96,
Adair,President,Gary Johnson,LIB,10003,0,0,2,2,
Adair,President,Hillary Clinton,DEM,10003,1,0,31,32,
Adair,U.S. Senate,James Lankford,REP,10003,5,0,88,93,
Adair,U.S. Senate,Robert Murphy,LIB,10003,0,0,1,1,
Adair,U.S. Senate,Mike Workman,DEM,10003,1,0,38,39,
Adair,U.S. Senate,Mark Beard,IND,10003,0,0,0,0,
Adair,U.S. Senate,Sean Braddy,IND,10003,0,0,1,1,
