county,office,district,party,candidate,absentee,early,election_day,votes
CADDO,U.S. Senate,,LIB,ROBERT T. MURPHY,6,8,164,178
CADDO,U.S. Senate,,DEM,MIKE WORKMAN,70,174,1727,1971
CADDO,U.S. Senate,,IND,MARK T. BEARD,1,4,125,130
CADDO,U.S. Senate,,IND,SEAN BRADDY,2,6,162,170
CANADIAN,State House,43,REP,JOHN PAUL JORDAN,1194,972,9119,11285
CANADIAN,State House,43,DEM,MIKE BOUNDS,585,468,3795,4848
CANADIAN,State House,43,IND,SOONER DAVENPORT,129,73,1101,1303
CANADIAN,State House,47,REP,LESLIE KATHRYN OSBORN,1301,863,9428,11592
CANADIAN,State House,47,DEM,O.A. CARGILL,391,268,2798,3457
CANADIAN,State House,60,REP,RHONDA BAKER,534,557,6871,7962
CANADIAN,State House,60,DEM,DENNIS PURIFOY,250,290,3034,3574
CANADIAN,State Senate,23,REP,LONNIE PAXTON,508,535,7027,8070
CANADIAN,State Senate,23,DEM,LARRY WASSON,135,210,2138,2483
CANADIAN,U.S. House,3,REP,FRANK D. LUCAS,3487,2691,29737,35915
CANADIAN,U.S. House,3,DEM,FRANKIE ROBBINS,1026,884,8170,10080
CANADIAN,U.S. House,4,REP,TOM COLE,728,410,5657,6795
CANADIAN,U.S. House,4,LIB,SEVIER WHITE,36,32,382,450
CANADIAN,U.S. House,4,DEM,CHRISTINA OWEN,180,140,1228,1548
CANADIAN,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,3868,2934,33184,39986
CANADIAN,President,,LIB,GARY JOHNSON | BILL WELD,346,194,3078,3618
CANADIAN,President,,DEM,HILLARY CLINTON | TIM KAINE,1276,1041,9357,11674
CANADIAN,U.S. Senate,,REP,JAMES LANKFORD,4196,3103,34828,42127
CANADIAN,U.S. Senate,,LIB,ROBERT T. MURPHY,144,98,1581,1823
CANADIAN,U.S. Senate,,DEM,MIKE WORKMAN,982,840,7165,8987
CANADIAN,U.S. Senate,,IND,MARK T. BEARD,68,48,880,996
CANADIAN,U.S. Senate,,IND,SEAN BRADDY,111,94,1137,1342
CARTER,State House,49,REP,TOMMY C. HARDIN,114,521,3555,4190
CARTER,State House,49,DEM,MICHELLE BRAY,28,174,1076,1278
CARTER,U.S. House,4,REP,TOM COLE,482,1923,11407,13812
CARTER,U.S. House,4,LIB,SEVIER WHITE,22,76,549,647
CARTER,U.S. House,4,DEM,CHRISTINA OWEN,171,650,3166,3987
CARTER,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,458,1888,11406,13752
CARTER,President,,LIB,GARY JOHNSON | BILL WELD,32,99,649,780
CARTER,President,,DEM,HILLARY CLINTON | TIM KAINE,192,681,3129,4002
CARTER,U.S. Senate,,REP,JAMES LANKFORD,475,1859,10601,12935
CARTER,U.S. Senate,,LIB,ROBERT T. MURPHY,14,49,441,504
CARTER,U.S. Senate,,DEM,MIKE WORKMAN,166,650,3214,4030
CARTER,U.S. Senate,,IND,MARK T. BEARD,6,38,376,420
CARTER,U.S. Senate,,IND,SEAN BRADDY,14,53,422,489
CHEROKEE,State House,14,REP,GEORGE FAUGHT,81,95,1041,1217
CHEROKEE,State House,14,DEM,LEE ANN LANGSTON,28,65,484,577
CHEROKEE,State House,4,REP,BOB ED CULVER,332,1544,4341,6217
CHEROKEE,State House,4,DEM,MATT MEREDITH,236,1814,4493,6543
CHEROKEE,State House,86,REP,RHONDA HOPKINS,25,142,527,694
CHEROKEE,State House,86,LIB,SHANNON GRIMES,1,29,154,184
CHEROKEE,State House,86,DEM,WILL FOURKILLER,41,182,758,981
CHEROKEE,State Senate,3,REP,WAYNE SHAW,110,416,1848,2374
CHEROKEE,State Senate,3,DEM,RHONDA COX,84,410,1701,2195
CHEROKEE,State Senate,9,REP,DEWAYNE PEMBERTON,178,1035,2496,3709
CHEROKEE,State Senate,9,DEM,JACK A. REAVIS,196,1484,2941,4621
CHEROKEE,U.S. House,2,REP,MARKWAYNE MULLIN,462,2202,7523,10187
CHEROKEE,U.S. House,2,DEM,JOSHUA HARRIS-TILL,252,1504,3543,5299
CHEROKEE,U.S. House,2,IND,JOHN McCARTHY,29,175,791,995
CHEROKEE,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,445,2097,7452,9994
CHEROKEE,President,,LIB,GARY JOHNSON | BILL WELD,37,207,796,1040
CHEROKEE,President,,DEM,HILLARY CLINTON | TIM KAINE,270,1565,3621,5456
CHEROKEE,U.S. Senate,,REP,JAMES LANKFORD,459,2206,7233,9898
CHEROKEE,U.S. Senate,,LIB,ROBERT T. MURPHY,13,106,425,544
CHEROKEE,U.S. Senate,,DEM,MIKE WORKMAN,237,1440,3590,5267
CHEROKEE,U.S. Senate,,IND,MARK T. BEARD,10,50,271,331
CHEROKEE,U.S. Senate,,IND,SEAN BRADDY,22,65,309,396
CHOCTAW,State House,19,REP,JUSTIN JJ HUMPHREY,99,523,1943,2565
CHOCTAW,State House,19,DEM,JAMES ALBERT CAMPBELL,57,426,1900,2383
CHOCTAW,State House,19,IND,MORGAN HOPSON,15,67,314,396
CHOCTAW,State Senate,5,REP,JOSEPH W. SILK,116,671,2531,3318
CHOCTAW,State Senate,5,DEM,STACEY ALLEN EBERT,55,347,1632,2034
CHOCTAW,U.S. House,2,REP,MARKWAYNE MULLIN,131,750,2875,3756
CHOCTAW,U.S. House,2,DEM,JOSHUA HARRIS-TILL,35,212,961,1208
CHOCTAW,U.S. House,2,IND,JOHN McCARTHY,6,53,289,348
CHOCTAW,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,131,819,3256,4206
CHOCTAW,President,,LIB,GARY JOHNSON | BILL WELD,9,21,123,153
CHOCTAW,President,,DEM,HILLARY CLINTON | TIM KAINE,35,183,849,1067
CHOCTAW,U.S. Senate,,REP,JAMES LANKFORD,130,751,2813,3694
CHOCTAW,U.S. Senate,,LIB,ROBERT T. MURPHY,3,13,108,124
CHOCTAW,U.S. Senate,,DEM,MIKE WORKMAN,33,214,1032,1279
CHOCTAW,U.S. Senate,,IND,MARK T. BEARD,4,18,90,112
CHOCTAW,U.S. Senate,,IND,SEAN BRADDY,4,18,84,106
CIMARRON,State House,61,REP,CASEY MURDOCK,66,220,664,950
CIMARRON,State House,61,DEM,ASHLEE RENEE ORTIZ,11,41,73,125
CIMARRON,U.S. House,3,REP,FRANK D. LUCAS,67,244,667,978
CIMARRON,U.S. House,3,DEM,FRANKIE ROBBINS,9,15,60,84
CIMARRON,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,65,234,664,963
CIMARRON,President,,LIB,GARY JOHNSON | BILL WELD,4,11,30,45
CIMARRON,President,,DEM,HILLARY CLINTON | TIM KAINE,8,16,47,71
CIMARRON,U.S. Senate,,REP,JAMES LANKFORD,62,220,621,903
CIMARRON,U.S. Senate,,LIB,ROBERT T. MURPHY,3,5,16,24
CIMARRON,U.S. Senate,,DEM,MIKE WORKMAN,4,19,54,77
CIMARRON,U.S. Senate,,IND,MARK T. BEARD,7,6,26,39
CIMARRON,U.S. Senate,,IND,SEAN BRADDY,0,7,13,20
CLEVELAND,State House,20,REP,BOBBY CLEVELAND,185,190,3377,3752
CLEVELAND,State House,20,DEM,MATT FAILING,136,85,1832,2053
CLEVELAND,State House,27,REP,JOSH COCKROFT,575,365,4803,5743
CLEVELAND,State House,27,DEM,JOHN KARLIN,189,126,1461,1776
CLEVELAND,State House,45,REP,MARC ETTERS,789,1044,6401,8234
CLEVELAND,State House,45,DEM,CLAUDIA GRIFFITH,1000,1374,6309,8683
CLEVELAND,State House,46,REP,SCOTT MARTIN,1397,1243,8348,10988
CLEVELAND,State House,46,DEM,JACOB ROSECRANTS,1008,978,5215,7201
CLEVELAND,State House,54,REP,KEVIN WEST,841,950,5726,7517
CLEVELAND,State House,54,DEM,MARY NEWCOME-HATCH,324,381,2199,2904
CLEVELAND,State House,54,IND,ELIZABETH LARIOS,115,146,1398,1659
CLEVELAND,State House,91,REP,CHRIS KANNADY,1674,2127,8887,12688
CLEVELAND,State House,91,DEM,TREY PUCKETT,546,846,3423,4815
CLEVELAND,State Senate,15,REP,ROB STANDRIDGE,2257,2123,15159,19539
CLEVELAND,State Senate,15,IND,SHAWN P. SHEEHAN,1417,1497,8669,11583
CLEVELAND,U.S. House,4,REP,TOM COLE,7736,8169,52614,68519
CLEVELAND,U.S. House,4,LIB,SEVIER WHITE,418,577,4652,5647
CLEVELAND,U.S. House,4,DEM,CHRISTINA OWEN,4052,5026,26185,35263
CLEVELAND,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,6790,7530,48218,62538
CLEVELAND,President,,LIB,GARY JOHNSON | BILL WELD,709,715,6659,8083
CLEVELAND,President,,DEM,HILLARY CLINTON | TIM KAINE,4645,5501,28683,38829
CLEVELAND,U.S. Senate,,REP,JAMES LANKFORD,7635,8139,52022,67796
CLEVELAND,U.S. Senate,,LIB,ROBERT T. MURPHY,287,356,3213,3856
CLEVELAND,U.S. Senate,,DEM,MIKE WORKMAN,3599,4253,21253,29105
CLEVELAND,U.S. Senate,,IND,MARK T. BEARD,142,250,1866,2258
CLEVELAND,U.S. Senate,,IND,SEAN BRADDY,565,802,5230,6597
COAL,U.S. House,2,REP,MARKWAYNE MULLIN,51,253,1288,1592
COAL,U.S. House,2,DEM,JOSHUA HARRIS-TILL,21,64,453,538
COAL,U.S. House,2,IND,JOHN McCARTHY,2,15,154,171
COAL,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,60,280,1558,1898
COAL,President,,LIB,GARY JOHNSON | BILL WELD,3,12,75,90
COAL,President,,DEM,HILLARY CLINTON | TIM KAINE,21,52,338,411
COAL,U.S. Senate,,REP,JAMES LANKFORD,52,234,1239,1525
COAL,U.S. Senate,,LIB,ROBERT T. MURPHY,0,4,49,53
COAL,U.S. Senate,,DEM,MIKE WORKMAN,19,76,518,613
COAL,U.S. Senate,,IND,MARK T. BEARD,1,6,48,55
COAL,U.S. Senate,,IND,SEAN BRADDY,1,7,53,61
COMANCHE,State House,62,REP,JOHN MICHAEL MONTGOMERY,534,686,3974,5194
COMANCHE,State House,62,DEM,LARRY BUSH,336,788,3548,4672
COMANCHE,State House,63,REP,JEFF COODY,357,411,4790,5558
COMANCHE,State House,63,DEM,RANDY BATT,221,331,2748,3300
COMANCHE,State House,64,REP,RANDE WORTHEN,440,583,3894,4917
COMANCHE,State House,64,DEM,JACOBI T. CROWLEY,224,516,2734,3474
COMANCHE,State House,65,REP,SCOOTER PARK,215,215,3326,3756
COMANCHE,State House,65,DEM,RICK GILLELAND,122,111,1214,1447
COMANCHE,State Senate,31,REP,CHRIS KIDD,584,803,7293,8680
COMANCHE,State Senate,31,DEM,PERRY BRINEGAR,309,624,4054,4987
COMANCHE,U.S. House,4,REP,TOM COLE,1711,2033,17527,21271
COMANCHE,U.S. House,4,LIB,SEVIER WHITE,96,102,1049,1247
COMANCHE,U.S. House,4,DEM,CHRISTINA OWEN,697,1522,7757,9976
COMANCHE,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,1504,1850,15829,19183
COMANCHE,President,,LIB,GARY JOHNSON | BILL WELD,153,133,1632,1918
COMANCHE,President,,DEM,HILLARY CLINTON | TIM KAINE,866,1674,8923,11463
COMANCHE,U.S. Senate,,REP,JAMES LANKFORD,1633,1939,16450,20022
COMANCHE,U.S. Senate,,LIB,ROBERT T. MURPHY,88,85,854,1027
COMANCHE,U.S. Senate,,DEM,MIKE WORKMAN,699,1462,7492,9653
COMANCHE,U.S. Senate,,IND,MARK T. BEARD,30,61,610,701
COMANCHE,U.S. Senate,,IND,SEAN BRADDY,57,106,878,1041
COTTON,State House,65,REP,SCOOTER PARK,85,382,1645,2112
COTTON,State House,65,DEM,RICK GILLELAND,18,65,384,467
COTTON,State Senate,31,REP,CHRIS KIDD,83,386,1584,2053
COTTON,State Senate,31,DEM,PERRY BRINEGAR,19,58,436,513
COTTON,U.S. House,4,REP,TOM COLE,87,384,1625,2096
COTTON,U.S. House,4,LIB,SEVIER WHITE,3,9,56,68
COTTON,U.S. House,4,DEM,CHRISTINA OWEN,15,48,341,404
COTTON,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,77,379,1598,2054
COTTON,President,,LIB,GARY JOHNSON | BILL WELD,8,24,92,124
COTTON,President,,DEM,HILLARY CLINTON | TIM KAINE,18,46,360,424
COTTON,U.S. Senate,,REP,JAMES LANKFORD,82,374,1555,2011
COTTON,U.S. Senate,,LIB,ROBERT T. MURPHY,2,12,42,56
COTTON,U.S. Senate,,DEM,MIKE WORKMAN,19,41,327,387
COTTON,U.S. Senate,,IND,MARK T. BEARD,1,11,57,69
COTTON,U.S. Senate,,IND,SEAN BRADDY,0,8,44,52
CRAIG,State Senate,1,REP,MICHEAL BERGSTROM,98,291,2477,2866
CRAIG,State Senate,1,DEM,JOHN L. MYERS,110,372,2396,2878
CRAIG,U.S. House,2,REP,MARKWAYNE MULLIN,154,506,3651,4311
CRAIG,U.S. House,2,DEM,JOSHUA HARRIS-TILL,44,136,942,1122
CRAIG,U.S. House,2,IND,JOHN McCARTHY,14,16,270,300
CRAIG,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,147,497,3639,4283
CRAIG,President,,LIB,GARY JOHNSON | BILL WELD,11,21,218,250
CRAIG,President,,DEM,HILLARY CLINTON | TIM KAINE,56,146,1050,1252
CRAIG,U.S. Senate,,REP,JAMES LANKFORD,155,491,3549,4195
CRAIG,U.S. Senate,,LIB,ROBERT T. MURPHY,6,7,109,122
CRAIG,U.S. Senate,,DEM,MIKE WORKMAN,48,146,1032,1226
CRAIG,U.S. Senate,,IND,MARK T. BEARD,2,9,86,97
CRAIG,U.S. Senate,,IND,SEAN BRADDY,1,5,79,85
CREEK,State House,29,REP,KYLE HILBERT,340,996,7585,8921
CREEK,State House,29,DEM,MACY GLEASON,192,528,3799,4519
CREEK,U.S. House,3,REP,FRANK D. LUCAS,788,2596,15846,19230
CREEK,U.S. House,3,DEM,FRANKIE ROBBINS,298,940,4822,6060
CREEK,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,817,2944,17814,21575
CREEK,President,,LIB,GARY JOHNSON | BILL WELD,71,143,1200,1414
CREEK,President,,DEM,HILLARY CLINTON | TIM KAINE,322,999,4520,5841
CREEK,U.S. Senate,,REP,JAMES LANKFORD,840,2989,17677,21506
CREEK,U.S. Senate,,LIB,ROBERT T. MURPHY,35,69,636,740
CREEK,U.S. Senate,,DEM,MIKE WORKMAN,267,873,4089,5229
CREEK,U.S. Senate,,IND,MARK T. BEARD,26,52,468,546
CREEK,U.S. Senate,,IND,SEAN BRADDY,25,74,483,582
CUSTER,U.S. House,3,REP,FRANK D. LUCAS,411,972,7165,8548
CUSTER,U.S. House,3,DEM,FRANKIE ROBBINS,100,263,1599,1962
CUSTER,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,379,904,6543,7826
CUSTER,President,,LIB,GARY JOHNSON | BILL WELD,20,39,552,611
CUSTER,President,,DEM,HILLARY CLINTON | TIM KAINE,124,290,1690,2104
CUSTER,U.S. Senate,,REP,JAMES LANKFORD,405,958,6954,8317
CUSTER,U.S. Senate,,LIB,ROBERT T. MURPHY,5,27,247,279
CUSTER,U.S. Senate,,DEM,MIKE WORKMAN,87,229,1312,1628
CUSTER,U.S. Senate,,IND,MARK T. BEARD,4,11,113,128
CUSTER,U.S. Senate,,IND,SEAN BRADDY,10,12,170,192
DELAWARE,State House,5,REP,JOSH WEST,499,955,6210,7664
DELAWARE,State House,5,DEM,MATT NOWLIN,202,414,2271,2887
DELAWARE,State House,7,REP,HOGUEN APPERSON,82,99,1057,1238
DELAWARE,State House,7,DEM,BEN LORING,40,67,708,815
DELAWARE,State House,86,REP,RHONDA HOPKINS,53,101,967,1121
DELAWARE,State House,86,LIB,SHANNON GRIMES,12,5,79,96
DELAWARE,State House,86,DEM,WILL FOURKILLER,99,57,1469,1625
DELAWARE,State Senate,1,REP,MICHEAL BERGSTROM,215,417,3073,3705
DELAWARE,State Senate,1,DEM,JOHN L. MYERS,146,295,1808,2249
DELAWARE,State Senate,3,REP,WAYNE SHAW,421,625,5133,6179
DELAWARE,State Senate,3,DEM,RHONDA COX,215,362,2807,3384
DELAWARE,U.S. House,2,REP,MARKWAYNE MULLIN,722,1199,9725,11646
DELAWARE,U.S. House,2,DEM,JOSHUA HARRIS-TILL,233,428,2417,3078
DELAWARE,U.S. House,2,IND,JOHN McCARTHY,52,88,741,881
DELAWARE,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,706,1210,9910,11826
DELAWARE,President,,LIB,GARY JOHNSON | BILL WELD,47,62,470,579
DELAWARE,President,,DEM,HILLARY CLINTON | TIM KAINE,258,443,2610,3311
DELAWARE,U.S. Senate,,REP,JAMES LANKFORD,700,1207,9475,11382
DELAWARE,U.S. Senate,,LIB,ROBERT T. MURPHY,26,28,279,333
DELAWARE,U.S. Senate,,DEM,MIKE WORKMAN,246,423,2632,3301
DELAWARE,U.S. Senate,,IND,MARK T. BEARD,13,28,221,262
DELAWARE,U.S. Senate,,IND,SEAN BRADDY,19,29,251,299
DEWEY,U.S. House,3,REP,FRANK D. LUCAS,98,136,1771,2005
DEWEY,U.S. House,3,DEM,FRANKIE ROBBINS,14,15,210,239
DEWEY,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,91,138,1736,1965
DEWEY,President,,LIB,GARY JOHNSON | BILL WELD,4,2,55,61
DEWEY,President,,DEM,HILLARY CLINTON | TIM KAINE,14,10,198,222
DEWEY,U.S. Senate,,REP,JAMES LANKFORD,86,139,1754,1979
DEWEY,U.S. Senate,,LIB,ROBERT T. MURPHY,4,1,23,28
DEWEY,U.S. Senate,,DEM,MIKE WORKMAN,15,10,160,185
DEWEY,U.S. Senate,,IND,MARK T. BEARD,1,0,18,19
DEWEY,U.S. Senate,,IND,SEAN BRADDY,5,0,24,29
ELLIS,State House,61,REP,CASEY MURDOCK,74,162,1409,1645
ELLIS,State House,61,DEM,ASHLEE RENEE ORTIZ,21,24,122,167
ELLIS,U.S. House,3,REP,FRANK D. LUCAS,75,160,1390,1625
ELLIS,U.S. House,3,DEM,FRANKIE ROBBINS,22,27,150,199
ELLIS,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,67,161,1383,1611
ELLIS,President,,LIB,GARY JOHNSON | BILL WELD,7,3,51,61
ELLIS,President,,DEM,HILLARY CLINTON | TIM KAINE,23,22,110,155
ELLIS,U.S. Senate,,REP,JAMES LANKFORD,76,163,1376,1615
ELLIS,U.S. Senate,,LIB,ROBERT T. MURPHY,2,2,30,34
ELLIS,U.S. Senate,,DEM,MIKE WORKMAN,15,20,100,135
ELLIS,U.S. Senate,,IND,MARK T. BEARD,1,2,17,20
ELLIS,U.S. Senate,,IND,SEAN BRADDY,1,1,21,23
GARFIELD,State House,40,REP,CHAD CALDWELL,525,1332,6653,8510
GARFIELD,State House,40,DEM,PIERCE JONES,195,501,2341,3037
GARFIELD,State Senate,19,REP,ROLAND PEDERSON,910,2103,11173,14186
GARFIELD,State Senate,19,DEM,RHONDA HARLOW,286,836,3588,4710
GARFIELD,State Senate,19,IND,WHITNEY HALL,107,377,2248,2732
GARFIELD,U.S. House,3,REP,FRANK D. LUCAS,999,2546,13664,17209
GARFIELD,U.S. House,3,DEM,FRANKIE ROBBINS,322,767,3315,4404
GARFIELD,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,875,2353,12781,16009
