county,office,district,party,candidate,absentee,early,election_day,votes
ADAIR,State House,86,REP,RHONDA HOPKINS,59,161,1654,1874
ADAIR,State House,86,LIB,SHANNON GRIMES,17,23,176,216
ADAIR,State House,86,DEM,WILL FOURKILLER,168,363,3915,4446
ADAIR,State Senate,3,REP,WAYNE SHAW,117,302,3113,3532
ADAIR,State Senate,3,DEM,RHONDA COX,128,242,2586,2956
ADAIR,U.S. House,2,REP,MARKWAYNE MULLIN,170,401,4526,5097
ADAIR,U.S. House,2,DEM,JOSHUA HARRIS-TILL,69,116,971,1156
ADAIR,U.S. House,2,IND,JOHN McCARTHY,10,30,241,281
ADAIR,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,154,377,4256,4787
ADAIR,President,,LIB,GARY JOHNSON | BILL WELD,23,32,289,344
ADAIR,President,,DEM,HILLARY CLINTON | TIM KAINE,73,137,1172,1382
ADAIR,U.S. Senate,,REP,JAMES LANKFORD,152,360,4064,4576
ADAIR,U.S. Senate,,LIB,ROBERT T. MURPHY,9,15,101,125
ADAIR,U.S. Senate,,DEM,MIKE WORKMAN,67,151,1334,1552
ADAIR,U.S. Senate,,IND,MARK T. BEARD,4,8,91,103
ADAIR,U.S. Senate,,IND,SEAN BRADDY,8,8,94,110
ALFALFA,State Senate,19,REP,ROLAND PEDERSON,86,219,1630,1935
ALFALFA,State Senate,19,DEM,RHONDA HARLOW,11,18,164,193
ALFALFA,State Senate,19,IND,WHITNEY HALL,5,19,113,137
ALFALFA,U.S. House,3,REP,FRANK D. LUCAS,82,232,1684,1998
ALFALFA,U.S. House,3,DEM,FRANKIE ROBBINS,17,23,216,256
ALFALFA,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,81,223,1629,1933
ALFALFA,President,,LIB,GARY JOHNSON | BILL WELD,8,8,93,109
ALFALFA,President,,DEM,HILLARY CLINTON | TIM KAINE,14,23,179,216
ALFALFA,U.S. Senate,,REP,JAMES LANKFORD,89,231,1662,1982
ALFALFA,U.S. Senate,,LIB,ROBERT T. MURPHY,1,1,38,40
ALFALFA,U.S. Senate,,DEM,MIKE WORKMAN,10,21,138,169
ALFALFA,U.S. Senate,,IND,MARK T. BEARD,1,3,42,46
ALFALFA,U.S. Senate,,IND,SEAN BRADDY,0,0,25,25
ATOKA,State House,19,REP,JUSTIN JJ HUMPHREY,24,225,972,1221
ATOKA,State House,19,DEM,JAMES ALBERT CAMPBELL,24,87,371,482
ATOKA,State House,19,IND,MORGAN HOPSON,4,13,124,141
ATOKA,State Senate,5,REP,JOSEPH W. SILK,14,67,622,703
ATOKA,State Senate,5,DEM,STACEY ALLEN EBERT,10,36,255,301
ATOKA,U.S. House,2,REP,MARKWAYNE MULLIN,117,771,2885,3773
ATOKA,U.S. House,2,DEM,JOSHUA HARRIS-TILL,46,185,674,905
ATOKA,U.S. House,2,IND,JOHN McCARTHY,11,43,213,267
ATOKA,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,124,812,3148,4084
ATOKA,President,,LIB,GARY JOHNSON | BILL WELD,5,26,108,139
ATOKA,President,,DEM,HILLARY CLINTON | TIM KAINE,48,172,575,795
ATOKA,U.S. Senate,,REP,JAMES LANKFORD,115,714,2612,3441
ATOKA,U.S. Senate,,LIB,ROBERT T. MURPHY,1,18,73,92
ATOKA,U.S. Senate,,DEM,MIKE WORKMAN,48,225,912,1185
ATOKA,U.S. Senate,,IND,MARK T. BEARD,6,13,71,90
ATOKA,U.S. Senate,,IND,SEAN BRADDY,5,26,83,114
BEAVER,State House,61,REP,CASEY MURDOCK,118,204,1684,2006
BEAVER,State House,61,DEM,ASHLEE RENEE ORTIZ,10,31,178,219
BEAVER,U.S. House,3,REP,FRANK D. LUCAS,111,211,1676,1998
BEAVER,U.S. House,3,DEM,FRANKIE ROBBINS,13,27,177,217
BEAVER,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,115,195,1683,1993
BEAVER,President,,LIB,GARY JOHNSON | BILL WELD,7,16,51,74
BEAVER,President,,DEM,HILLARY CLINTON | TIM KAINE,9,25,142,176
BEAVER,U.S. Senate,,REP,JAMES LANKFORD,111,206,1623,1940
BEAVER,U.S. Senate,,LIB,ROBERT T. MURPHY,1,5,40,46
BEAVER,U.S. Senate,,DEM,MIKE WORKMAN,8,21,140,169
BEAVER,U.S. Senate,,IND,MARK T. BEARD,2,4,34,40
BEAVER,U.S. Senate,,IND,SEAN BRADDY,3,2,22,27
BECKHAM,State House,55,REP,TODD RUSS,137,420,2462,3019
BECKHAM,State House,55,DEM,WAYNE A. WALTERS,87,329,1911,2327
BECKHAM,U.S. House,3,REP,FRANK D. LUCAS,281,813,5360,6454
BECKHAM,U.S. House,3,DEM,FRANKIE ROBBINS,54,144,856,1054
BECKHAM,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,265,824,5219,6308
BECKHAM,President,,LIB,GARY JOHNSON | BILL WELD,10,23,251,284
BECKHAM,President,,DEM,HILLARY CLINTON | TIM KAINE,61,114,785,960
BECKHAM,U.S. Senate,,REP,JAMES LANKFORD,265,822,5218,6305
BECKHAM,U.S. Senate,,LIB,ROBERT T. MURPHY,8,12,105,125
BECKHAM,U.S. Senate,,DEM,MIKE WORKMAN,50,113,707,870
BECKHAM,U.S. Senate,,IND,MARK T. BEARD,7,10,83,100
BECKHAM,U.S. Senate,,IND,SEAN BRADDY,5,8,127,140
BLAINE,U.S. House,3,REP,FRANK D. LUCAS,138,284,2638,3060
BLAINE,U.S. House,3,DEM,FRANKIE ROBBINS,28,71,591,690
BLAINE,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,126,271,2487,2884
BLAINE,President,,LIB,GARY JOHNSON | BILL WELD,10,9,179,198
BLAINE,President,,DEM,HILLARY CLINTON | TIM KAINE,30,74,607,711
BLAINE,U.S. Senate,,REP,JAMES LANKFORD,139,287,2615,3041
BLAINE,U.S. Senate,,LIB,ROBERT T. MURPHY,3,4,73,80
BLAINE,U.S. Senate,,DEM,MIKE WORKMAN,23,60,468,551
BLAINE,U.S. Senate,,IND,MARK T. BEARD,0,3,48,51
BLAINE,U.S. Senate,,IND,SEAN BRADDY,2,7,65,74
BRYAN,State House,19,REP,JUSTIN JJ HUMPHREY,35,59,1064,1158
BRYAN,State House,19,DEM,JAMES ALBERT CAMPBELL,13,20,568,601
BRYAN,State House,19,IND,MORGAN HOPSON,2,6,71,79
BRYAN,State House,21,REP,DUSTIN ROBERTS,290,949,7738,8977
BRYAN,State House,21,DEM,DAVID S. NORTHCUTT,126,273,2433,2832
BRYAN,U.S. House,2,REP,MARKWAYNE MULLIN,324,967,8516,9807
BRYAN,U.S. House,2,DEM,JOSHUA HARRIS-TILL,117,267,2495,2879
BRYAN,U.S. House,2,IND,JOHN McCARTHY,21,74,825,920
BRYAN,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,333,999,9146,10478
BRYAN,President,,LIB,GARY JOHNSON | BILL WELD,12,36,488,536
BRYAN,President,,DEM,HILLARY CLINTON | TIM KAINE,133,281,2390,2804
BRYAN,U.S. Senate,,REP,JAMES LANKFORD,324,949,8293,9566
BRYAN,U.S. Senate,,LIB,ROBERT T. MURPHY,12,27,334,373
BRYAN,U.S. Senate,,DEM,MIKE WORKMAN,110,269,2586,2965
BRYAN,U.S. Senate,,IND,MARK T. BEARD,6,27,247,280
BRYAN,U.S. Senate,,IND,SEAN BRADDY,13,28,359,400
CADDO,State House,56,REP,CHRIS VERSER,63,155,1020,1238
CADDO,State House,56,DEM,DAVID PERRYMAN,104,405,2951,3460
CADDO,State House,60,REP,RHONDA BAKER,57,35,1332,1424
CADDO,State House,60,DEM,DENNIS PURIFOY,38,22,901,961
CADDO,State House,65,REP,SCOOTER PARK,48,55,1244,1347
CADDO,State House,65,DEM,RICK GILLELAND,13,30,525,568
CADDO,U.S. House,3,REP,FRANK D. LUCAS,269,492,6148,6909
CADDO,U.S. House,3,DEM,FRANKIE ROBBINS,70,210,2129,2409
CADDO,President,,REP,DONALD J. TRUMP | MICHAEL R. PENCE,242,450,5790,6482
CADDO,President,,LIB,GARY JOHNSON | BILL WELD,14,31,401,446
CADDO,President,,DEM,HILLARY CLINTON | TIM KAINE,79,222,2119,2420
CADDO,U.S. Senate,,REP,JAMES LANKFORD,260,512,6122,6894
