county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,votes,district
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10001,0,0,0,0,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10001,0,0,0,0,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10004,0,1,18,19,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10004,2,0,14,16,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10006,0,0,7,7,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10006,0,0,5,5,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10007,0,0,46,46,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10007,0,3,31,34,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10008,0,0,11,11,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10008,0,0,7,7,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10010,0,0,0,0,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10010,0,0,8,8,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10011,0,0,2,2,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10011,0,1,4,5,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10012,0,0,16,16,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10012,0,2,51,53,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10013,8,3,33,44,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10013,0,1,21,22,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,FOR THE PROPOSITION - YES,,10014,2,4,53,59,
ADAIR,PROPOSITION STILWELL PUBLIC SCHOOLS,AGAINST THE PROPOSITION - NO,,10014,0,3,47,50,
CANADIAN,State Senator,SCOTT HARRIS,Republican,90211,0,0,17,17,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90211,2,0,12,14,45
CANADIAN,State Senator,DUANE SMITH,Republican,90211,0,0,2,2,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90211,0,0,3,3,45
CANADIAN,State Senator,DIANE MEANS,Republican,90211,0,1,8,9,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90211,3,0,21,24,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90211,0,0,8,8,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90211,1,0,18,19,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90211,0,0,0,0,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90215,4,0,17,21,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90215,2,0,22,24,45
CANADIAN,State Senator,DUANE SMITH,Republican,90215,0,0,5,5,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90215,0,0,6,6,45
CANADIAN,State Senator,DIANE MEANS,Republican,90215,1,0,55,56,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90215,5,0,45,50,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90215,0,0,13,13,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90215,3,0,41,44,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90215,0,0,2,2,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90221,1,0,18,19,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90221,2,0,10,12,45
CANADIAN,State Senator,DUANE SMITH,Republican,90221,0,0,4,4,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90221,0,0,4,4,45
CANADIAN,State Senator,DIANE MEANS,Republican,90221,4,0,27,31,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90221,2,0,16,18,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90221,0,0,6,6,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90221,4,0,33,37,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90221,0,0,4,4,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90223,1,0,12,13,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90223,0,0,17,17,45
CANADIAN,State Senator,DUANE SMITH,Republican,90223,3,0,4,7,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90223,0,0,5,5,45
CANADIAN,State Senator,DIANE MEANS,Republican,90223,3,0,45,48,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90223,2,2,31,35,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90223,0,0,36,36,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90223,2,0,53,55,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90223,1,0,2,3,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90300,0,0,16,16,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90300,11,0,63,74,45
CANADIAN,State Senator,DUANE SMITH,Republican,90300,0,0,18,18,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90300,1,0,4,5,45
CANADIAN,State Senator,DIANE MEANS,Republican,90300,2,0,37,39,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90300,1,1,23,25,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90300,0,2,28,30,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90300,0,0,42,42,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90300,1,0,1,2,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90301,5,0,16,21,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90301,4,1,48,53,45
CANADIAN,State Senator,DUANE SMITH,Republican,90301,3,0,33,36,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90301,0,0,1,1,45
CANADIAN,State Senator,DIANE MEANS,Republican,90301,7,0,52,59,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90301,0,1,55,56,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90301,3,0,9,12,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90301,8,0,56,64,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90301,1,0,2,3,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90302,2,0,14,16,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90302,4,0,40,44,45
CANADIAN,State Senator,DUANE SMITH,Republican,90302,0,0,9,9,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90302,0,0,3,3,45
CANADIAN,State Senator,DIANE MEANS,Republican,90302,2,0,23,25,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90302,1,0,32,33,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90302,0,0,16,16,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90302,4,0,41,45,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90302,0,0,6,6,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90303,1,0,36,37,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90303,1,0,36,37,45
CANADIAN,State Senator,DUANE SMITH,Republican,90303,3,0,17,20,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90303,0,0,0,0,45
CANADIAN,State Senator,DIANE MEANS,Republican,90303,3,0,13,16,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90303,3,1,36,40,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90303,3,0,22,25,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90303,3,0,47,50,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90303,1,0,2,3,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90304,4,0,12,16,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90304,3,0,60,63,45
CANADIAN,State Senator,DUANE SMITH,Republican,90304,0,0,24,24,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90304,0,0,1,1,45
CANADIAN,State Senator,DIANE MEANS,Republican,90304,3,0,45,48,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90304,0,0,28,28,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90304,2,0,10,12,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90304,0,0,40,40,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90304,0,0,1,1,45
CANADIAN,State Senator,SCOTT HARRIS,Republican,90306,2,0,45,47,45
CANADIAN,State Senator,PAUL ROSINO,Republican,90306,9,0,83,92,45
CANADIAN,State Senator,DUANE SMITH,Republican,90306,2,0,16,18,45
CANADIAN,State Senator,MATHEW HAMRICK,Republican,90306,1,0,4,5,45
CANADIAN,State Senator,DIANE MEANS,Republican,90306,2,3,71,76,45
CANADIAN,State Senator,BRIAN WALTERS,Republican,90306,1,0,55,56,45
CANADIAN,State Senator,KERRY PETTINGILL,Republican,90306,2,0,48,50,45
CANADIAN,State Senator,STEVEN VINCENT,Democratic,90306,3,1,63,67,45
CANADIAN,State Senator,NOAH S. YNCLAN,Democratic,90306,0,0,2,2,45
CLEVELAND,State Senator,SCOTT HARRIS,Republican,140004,6,1,5,12,45
CLEVELAND,State Senator,PAUL ROSINO,Republican,140004,9,3,151,163,45
CLEVELAND,State Senator,DUANE SMITH,Republican,140004,2,0,14,16,45
CLEVELAND,State Senator,MATHEW HAMRICK,Republican,140004,2,0,2,4,45
CLEVELAND,State Senator,DIANE MEANS,Republican,140004,11,0,44,55,45
CLEVELAND,State Senator,BRIAN WALTERS,Republican,140004,7,0,79,86,45
CLEVELAND,State Senator,KERRY PETTINGILL,Republican,140004,1,0,11,12,45
CLEVELAND,State Senator,STEVEN VINCENT,Democratic,140004,12,0,75,87,45
CLEVELAND,State Senator,NOAH S. YNCLAN,Democratic,140004,2,0,12,14,45
CLEVELAND,State Senator,SCOTT HARRIS,Republican,140007,0,0,5,5,45
CLEVELAND,State Senator,PAUL ROSINO,Republican,140007,4,0,32,36,45
CLEVELAND,State Senator,DUANE SMITH,Republican,140007,0,0,8,8,45
CLEVELAND,State Senator,MATHEW HAMRICK,Republican,140007,0,0,2,2,45
CLEVELAND,State Senator,DIANE MEANS,Republican,140007,0,0,12,12,45
CLEVELAND,State Senator,BRIAN WALTERS,Republican,140007,2,0,28,30,45
CLEVELAND,State Senator,KERRY PETTINGILL,Republican,140007,0,0,13,13,45
CLEVELAND,State Senator,STEVEN VINCENT,Democratic,140007,6,0,28,34,45
CLEVELAND,State Senator,NOAH S. YNCLAN,Democratic,140007,1,0,2,3,45
