county,office,candidate,party,precinct,mail_votes,early_votes,elec_day_votes,votes,district
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40011,0,0,0,0,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40011,0,0,0,0,27
BEAVER,State Senator,JEFF HALL,Republican,40011,0,0,4,4,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40011,0,0,17,17,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40011,1,4,49,54,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40011,0,0,10,10,27
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40013,0,0,1,1,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40013,1,0,0,1,27
BEAVER,State Senator,JEFF HALL,Republican,40013,0,0,7,7,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40013,0,0,11,11,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40013,4,0,13,17,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40013,0,0,6,6,27
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40023,0,0,3,3,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40023,0,0,1,1,27
BEAVER,State Senator,JEFF HALL,Republican,40023,0,2,19,21,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40023,0,9,50,59,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40023,3,11,85,99,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40023,2,8,33,43,27
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40025,0,0,0,0,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40025,0,0,1,1,27
BEAVER,State Senator,JEFF HALL,Republican,40025,0,0,6,6,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40025,0,0,7,7,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40025,0,1,26,27,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40025,0,0,9,9,27
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40026,0,0,0,0,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40026,0,0,0,0,27
BEAVER,State Senator,JEFF HALL,Republican,40026,0,0,1,1,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40026,0,0,0,0,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40026,1,1,5,7,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40026,0,0,6,6,27
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40031,0,0,0,0,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40031,0,0,0,0,27
BEAVER,State Senator,JEFF HALL,Republican,40031,0,0,3,3,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40031,0,0,10,10,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40031,1,2,38,41,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40031,0,0,18,18,27
BEAVER,State Senator,TOMMY W. NICHOLSON,Republican,40033,0,0,2,2,27
BEAVER,State Senator,MICHAEL MEDILL,Republican,40033,0,0,1,1,27
BEAVER,State Senator,JEFF HALL,Republican,40033,1,0,6,7,27
BEAVER,State Senator,TRAVIS TEMPLIN,Republican,40033,1,0,21,22,27
BEAVER,State Senator,CASEY MURDOCK,Republican,40033,1,3,99,103,27
BEAVER,State Senator,CAROLYN McLARTY,Republican,40033,0,1,15,16,27
CIMARRON,State Senator,TOMMY W. NICHOLSON,Republican,130002,0,0,0,0,27
CIMARRON,State Senator,MICHAEL MEDILL,Republican,130002,0,0,0,0,27
CIMARRON,State Senator,JEFF HALL,Republican,130002,3,0,0,3,27
CIMARRON,State Senator,TRAVIS TEMPLIN,Republican,130002,1,1,3,5,27
CIMARRON,State Senator,CASEY MURDOCK,Republican,130002,2,15,48,65,27
CIMARRON,State Senator,CAROLYN McLARTY,Republican,130002,0,2,10,12,27
CIMARRON,State Senator,TOMMY W. NICHOLSON,Republican,130003,0,0,1,1,27
CIMARRON,State Senator,MICHAEL MEDILL,Republican,130003,0,0,0,0,27
CIMARRON,State Senator,JEFF HALL,Republican,130003,0,0,4,4,27
CIMARRON,State Senator,TRAVIS TEMPLIN,Republican,130003,0,5,5,10,27
CIMARRON,State Senator,CASEY MURDOCK,Republican,130003,3,7,30,40,27
CIMARRON,State Senator,CAROLYN McLARTY,Republican,130003,1,8,23,32,27
CIMARRON,State Senator,TOMMY W. NICHOLSON,Republican,130004,0,0,0,0,27
CIMARRON,State Senator,MICHAEL MEDILL,Republican,130004,0,0,0,0,27
CIMARRON,State Senator,JEFF HALL,Republican,130004,0,1,3,4,27
CIMARRON,State Senator,TRAVIS TEMPLIN,Republican,130004,0,1,5,6,27
CIMARRON,State Senator,CASEY MURDOCK,Republican,130004,2,12,34,48,27
CIMARRON,State Senator,CAROLYN McLARTY,Republican,130004,0,1,10,11,27
CIMARRON,State Senator,TOMMY W. NICHOLSON,Republican,130005,0,0,0,0,27
CIMARRON,State Senator,MICHAEL MEDILL,Republican,130005,0,0,0,0,27
CIMARRON,State Senator,JEFF HALL,Republican,130005,0,2,0,2,27
CIMARRON,State Senator,TRAVIS TEMPLIN,Republican,130005,0,2,10,12,27
CIMARRON,State Senator,CASEY MURDOCK,Republican,130005,1,6,24,31,27
CIMARRON,State Senator,CAROLYN McLARTY,Republican,130005,0,3,13,16,27
CIMARRON,State Senator,TOMMY W. NICHOLSON,Republican,130006,0,0,0,0,27
CIMARRON,State Senator,MICHAEL MEDILL,Republican,130006,0,0,0,0,27
CIMARRON,State Senator,JEFF HALL,Republican,130006,0,1,1,2,27
CIMARRON,State Senator,TRAVIS TEMPLIN,Republican,130006,0,4,7,11,27
CIMARRON,State Senator,CASEY MURDOCK,Republican,130006,0,20,55,75,27
CIMARRON,State Senator,CAROLYN McLARTY,Republican,130006,3,4,10,17,27
CIMARRON,State Senator,TOMMY W. NICHOLSON,Republican,130007,0,0,0,0,27
CIMARRON,State Senator,MICHAEL MEDILL,Republican,130007,0,0,0,0,27
CIMARRON,State Senator,JEFF HALL,Republican,130007,0,0,1,1,27
CIMARRON,State Senator,TRAVIS TEMPLIN,Republican,130007,1,2,1,4,27
CIMARRON,State Senator,CASEY MURDOCK,Republican,130007,0,1,10,11,27
CIMARRON,State Senator,CAROLYN McLARTY,Republican,130007,0,0,4,4,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220001,0,0,2,2,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220001,0,0,0,0,27
DEWEY,State Senator,JEFF HALL,Republican,220001,0,3,0,3,27
DEWEY,State Senator,TRAVIS TEMPLIN,Republican,220001,0,3,26,29,27
DEWEY,State Senator,CASEY MURDOCK,Republican,220001,0,0,12,12,27
DEWEY,State Senator,CAROLYN McLARTY,Republican,220001,0,2,4,6,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220002,0,0,0,0,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220002,0,0,0,0,27
DEWEY,State Senator,JEFF HALL,Republican,220002,0,0,0,0,27
DEWEY,State Senator,TRAVIS TEMPLIN,Republican,220002,0,0,8,8,27
DEWEY,State Senator,CASEY MURDOCK,Republican,220002,0,1,3,4,27
DEWEY,State Senator,CAROLYN McLARTY,Republican,220002,0,0,3,3,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220003,0,0,0,0,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220003,0,0,0,0,27
DEWEY,State Senator,JEFF HALL,Republican,220003,0,0,1,1,27
DEWEY,State Senator,TRAVIS TEMPLIN,Republican,220003,0,0,13,13,27
DEWEY,State Senator,CASEY MURDOCK,Republican,220003,0,0,8,8,27
DEWEY,State Senator,CAROLYN McLARTY,Republican,220003,0,0,9,9,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220004,0,0,1,1,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220004,0,0,0,0,27
DEWEY,State Senator,JEFF HALL,Republican,220004,0,0,1,1,27
DEWEY,State Senator,TRAVIS TEMPLIN,Republican,220004,0,0,9,9,27
DEWEY,State Senator,CASEY MURDOCK,Republican,220004,1,0,6,7,27
DEWEY,State Senator,CAROLYN McLARTY,Republican,220004,0,0,14,14,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220005,1,0,1,2,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220005,0,0,2,2,27
DEWEY,State Senator,JEFF HALL,Republican,220005,0,0,10,10,27
DEWEY,State Senator,TRAVIS TEMPLIN,Republican,220005,3,8,62,73,27
DEWEY,State Senator,CASEY MURDOCK,Republican,220005,1,2,63,66,27
DEWEY,State Senator,CAROLYN McLARTY,Republican,220005,1,0,15,16,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220007,0,0,0,0,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220007,0,0,0,0,27
DEWEY,State Senator,JEFF HALL,Republican,220007,0,0,2,2,27
DEWEY,State Senator,TRAVIS TEMPLIN,Republican,220007,1,4,25,30,27
DEWEY,State Senator,CASEY MURDOCK,Republican,220007,0,0,4,4,27
DEWEY,State Senator,CAROLYN McLARTY,Republican,220007,0,0,4,4,27
DEWEY,State Senator,TOMMY W. NICHOLSON,Republican,220008,0,0,2,2,27
DEWEY,State Senator,MICHAEL MEDILL,Republican,220008,0,0,2,2,27
