county,office,district,party,candidate,votes
Creek,U.S. House,1,R,JOHN SULLIVAN,1784
Creek,U.S. House,1,D,GEORGIANNA W. OLIVER,665
Rogers,U.S. House,1,R,JOHN SULLIVAN,6226
Rogers,U.S. House,1,D,GEORGIANNA W. OLIVER,2217
Tulsa,U.S. House,1,R,JOHN SULLIVAN,150664
Tulsa,U.S. House,1,D,GEORGIANNA W. OLIVER,81978
Wagoner,U.S. House,1,R,JOHN SULLIVAN,19579
Wagoner,U.S. House,1,D,GEORGIANNA W. OLIVER,8407
Washington,U.S. House,1,R,JOHN SULLIVAN,15151
Washington,U.S. House,1,D,GEORGIANNA W. OLIVER,5623
Adair,U.S. House,2,R,RAYMOND J. WICKSON,1955
Adair,U.S. House,2,D,DAN BOREN,4316
Atoka,U.S. House,2,R,RAYMOND J. WICKSON,1201
Atoka,U.S. House,2,D,DAN BOREN,3223
Bryan,U.S. House,2,R,RAYMOND J. WICKSON,3664
Bryan,U.S. House,2,D,DAN BOREN,8841
Cherokee,U.S. House,2,R,RAYMOND J. WICKSON,4216
Cherokee,U.S. House,2,D,DAN BOREN,11293
Choctaw,U.S. House,2,R,RAYMOND J. WICKSON,1247
Choctaw,U.S. House,2,D,DAN BOREN,3772
Coal,U.S. House,2,R,RAYMOND J. WICKSON,560
Coal,U.S. House,2,D,DAN BOREN,1567
Craig,U.S. House,2,R,RAYMOND J. WICKSON,1519
Craig,U.S. House,2,D,DAN BOREN,4063
Delaware,U.S. House,2,R,RAYMOND J. WICKSON,5045
Delaware,U.S. House,2,D,DAN BOREN,9065
Haskell,U.S. House,2,R,RAYMOND J. WICKSON,1119
Haskell,U.S. House,2,D,DAN BOREN,3196
Hughes,U.S. House,2,R,RAYMOND J. WICKSON,1086
Hughes,U.S. House,2,D,DAN BOREN,3467
Johnston,U.S. House,2,R,RAYMOND J. WICKSON,1021
Johnston,U.S. House,2,D,DAN BOREN,2636
Latimer,U.S. House,2,R,RAYMOND J. WICKSON,935
Latimer,U.S. House,2,D,DAN BOREN,2967
Leflore,U.S. House,2,R,RAYMOND J. WICKSON,4691
Leflore,U.S. House,2,D,DAN BOREN,10611
Mccurtain,U.S. House,2,R,RAYMOND J. WICKSON,3178
Mccurtain,U.S. House,2,D,DAN BOREN,6405
Mcintosh,U.S. House,2,R,RAYMOND J. WICKSON,1967
Mcintosh,U.S. House,2,D,DAN BOREN,5661
Mayes,U.S. House,2,R,RAYMOND J. WICKSON,4588
Mayes,U.S. House,2,D,DAN BOREN,10431
Muskogee,U.S. House,2,R,RAYMOND J. WICKSON,5675
Muskogee,U.S. House,2,D,DAN BOREN,19078
Nowata,U.S. House,2,R,RAYMOND J. WICKSON,1246
